mlbamID,playerName,team,league,defaultPos,W,L,S,IP,H,R,ER,HR,BB,K,HBP,G_SP,G_RP
213711,Jeff Weaver,LAN,NL,RP,3,4,0,67,74,40,36,10,24,47,3,7,21
215197,Matt Ginter,HOU,NL,RP,3,5,0,70,80,43,38,9,24,38,0,0,0
216897,Kyle Snyder,NYN,NL,RP,3,4,0,61,64,37,33,9,23,40,1,0,0
217096,Barry Zito,SFN,NL,SP,10,11,0,189,185,99,95,21,87,142,7,33,0
218294,Byung-hyun Kim,,,,4,6,0,87,97,56,48,12,39,75,7,0,0
218596,Tim Hudson,ATL,NL,SP,5,4,0,80,79,34,32,6,23,50,2,7,0
218894,Vicente Padilla,LAN,NL,SP,5,6,0,97,99,49,46,11,37,72,6,25,1
219194,Gil Meche,KCA,AL,SP,6,7,0,113,126,64,57,13,45,88,2,23,0
219594,Tomo Ohka,,,SP,3,5,0,71,85,52,49,16,22,34,2,6,12
228594,David Riske,MIL,NL,RP,2,1,0,28,27,14,13,4,13,20,1,0,1
232994,Scott Strickland,COL,NL,RP,2,4,0,50,51,30,28,7,25,46,0,0,0
234194,Buddy Carlyle,,,RP,2,2,0,33,34,19,16,5,12,28,0,0,17
235095,Dan Wheeler,TBA,AL,RP,4,3,0,64,49,31,29,10,16,53,1,0,69
239795,Chad Durbin,PHI,NL,RP,4,2,0,58,54,30,29,7,28,44,4,0,59
240694,J.c. Romero,PHI,NL,RP,2,1,0,28,22,13,12,2,18,22,2,0,21
275700,Winston Abreu,TBA,AL,RP,2,1,0,31,30,17,15,4,13,32,1,0,5
275933,Scott Downs,TOR,AL,RP,3,1,9,40,34,14,14,3,14,34,2,0,48
276056,Danys Baez,PHI,NL,RP,4,4,0,68,59,35,33,7,25,43,5,0,59
276336,Shawn Chacon,OAK,AL,RP,3,6,0,83,97,65,61,18,47,49,2,0,0
276351,Jason Grilli,CLE,AL,RP,2,2,0,40,44,22,19,3,21,39,1,0,52
276371,Johan Santana,NYN,NL,SP,14,8,0,194,160,72,69,23,52,181,4,25,0
276373,Marty Mcleary,TOR,AL,SP,2,5,0,63,72,44,39,9,31,39,0,0,0
276514,Kevin Gregg,TOR,AL,RP,4,4,15,68,59,33,33,9,29,61,3,0,72
276520,Bronson Arroyo,CIN,NL,SP,12,12,0,212,214,108,102,27,65,143,8,33,0
276530,Scott Linebrink,CHA,AL,RP,3,3,0,58,62,33,29,9,20,51,2,0,57
276542,Joaquin Benoit,TBA,AL,RP,4,3,0,63,56,31,28,6,33,61,1,0,0
276912,Scot Shields,LAA,AL,RP,3,2,0,45,40,22,20,4,22,41,1,0,20
276913,Derrick Turnbow,FLO,NL,RP,1,1,0,21,19,15,14,1,25,21,1,0,0
276914,Cedrick Bowers,OAK,AL,RP,3,2,0,46,41,26,25,3,40,45,0,0,0
277405,Justin Miller,LAN,NL,RP,4,6,0,92,107,70,65,12,63,48,1,0,44
277414,Chris Gissell,COL,NL,SP,2,2,0,40,47,26,23,5,13,25,0,0,0
277417,Josh Beckett,BOS,AL,SP,13,9,0,198,195,94,87,23,50,184,7,32,0
279561,Steve Green,PHI,NL,RP,2,2,0,36,38,25,23,5,26,28,0,0,0
279571,Matt Belisle,COL,NL,RP,3,2,0,49,59,29,25,5,13,33,1,0,24
279576,Steve Torrealba,BAL,AL,C,0,1,0,9,11,6,5,1,4,7,0,0,0
279782,Jon Garland,SDN,NL,SP,10,12,0,200,207,94,84,22,63,108,6,33,0
279824,Mark Buehrle,CHA,AL,SP,12,11,0,209,218,102,97,22,48,115,5,33,0
