mlbamID,newIP,adjIP,S,IP,bisID,playerID,FG,defaultPos
430673,56,45,2,,7986,Ramon S. Ramirez,69.3,RP
460366,56,45,,,6422,Rich Thompson,19.7,RP
444427,56,45,,,,Kanekoa Texeira,61.3,RP
491159,52,45,,,4620,Joe Thatcher,35,RP
502026,60,45,,,,Jeremy Jeffress,,RP
450864,52,45,,,,Bobby Cramer,23.7,RP
543409,56,,,,,"Kohn, Michael ",T,
430911,54,47,26,,1902,David Aardsma,Y,RP
493157,56,45,21,,9227,Koji Uehara,44,RP
349193,53,,,,,"Ohman, Will ",T,
458950,55,,,,,"Humber, Philip ",T,
408230,53,43,,51,1601,Pedro Feliciano,62.7,RP
136263,53,45,,,1995,Tim Byrdak,,RP
434619,43,45,,,2568,Enrique Gonzalez,26,RP
502260,50,,,,,"Pestano, Vinnie ",T,
430083,53,,,,,"Sanches, Brian ",T,
276530,55,45,,,564,Scott Linebrink,57.3,RP
460657,54,45,,,3107,Doug Slaten,40.7,RP
502043,50,,,,,"Gibson, Kyle ",T,
407911,53,48,21,57,1933,Frank Francisco,52.7,RP
445197,45,45,,,9948,Mike Dunn,19,RP
435618,52,45,,,6428,Jeremy Accardo,6.7,RP
452240,55,45,,,7334,Adam Russell,15.7,RP
474039,47,,,,,"Beato, Pedro ",T,
408072,48,,,,,"Bulger, Jason ",T,
276056,43,45,,,367,Danys Baez,47.7,RP
455374,46,45,,,8844,Antonio Bastardo,18.7,RP
462985,48,45,5,,5088,Franklin Morales,28.7,RP
453646,50,45,2,,4138,Carlos Villanueva,52.7,RP
519186,49,45,,,,Matt Reynolds,18,RP
502130,50,45,,,4080,Dan Runzler,32.7,RP
457429,49,45,,,5525,Boone Logan,40,RP
469686,44,,,,,"Aceves, Alfredo ",T,
449079,38,,,,,"Wright, Wesley ",T,
424805,34,140,,,1574,Mark Hendrickson,,SP
434442,46,45,8,,8245,J.P. Howell,,RP
502188,48,45,,,3254,Jeff Samardzija,,RP
467008,48,,,,,"Strop, Pedro ",T,
453249,52,,,,,"Manship, Jeff ",T,
458681,46,,,,,"Lynn, Lance ",T,
433657,52,,,,,"Bush, Dave ",T,
346848,50,45,,,1848,John Grabow,25.7,RP
346847,46,45,,,979,Joe Beimel,,RP
450852,47,,,,,"Martinez, Cristhian ",T,
501874,45,,,,,"Mickolio, Kam ",T,
430941,46,45,,,6291,George Sherrill,36.3,RP
453515,47,45,,,8360,David Purcey,34,RP
502168,48,,,,,"Owens, Rudy ",T,
519105,45,,,,,"Parker, Jarrod ",T,
459987,43,140,,,3357,Cesar Ramos,8.3,SP
453343,50,45,,,4264,Mark Melancon,21.3,RP
124604,48,45,,,715,Jamey Wright,,RP
497807,41,45,,,,Frank Herrmann,44.7,RP
476011,57,,,,,"Maloney, Matt ",T,
425848,46,140,,,1772,Rich Harden,92,SP
444884,48,45,,,6315,Chris Ray,,RP
454537,48,45,,,8346,Jared Burton,3.3,RP
506606,41,45,,,7763,Hideki Okajima,46,RP
458250,46,45,,,6164,Dusty Hughes,56.3,RP
477569,42,,,,,"Salas, Fernando ",T,
543475,47,,,,,"Lyles, Jordan ",T,
240694,47,45,2,,754,J.C. Romero,36.7,RP
450275,45,45,,,7416,Mark Lowe,13.3,RP
115629,37,45,,,729,LaTroy Hawkins,16,RP
460283,44,45,,,7841,Jerry Blevins,48.7,RP
489334,48,,,,,"Stammen, Craig ",T,
435261,35,,,,,"Miner, Zach ",T,
518495,40,,,,,"Broderick, Brian ",T,
519110,41,45,,,,Joe Paterson,,RP
425226,46,45,,,1646,Brian Tallet,77.3,RP
467094,38,,,,,"Doubront, Felix ",T,
488787,47,,,,,"Coleman, Casey ",T,
464244,38,,,,,"Arias, Alberto ",T,
434638,38,140,,,3425,Brian Burres,79.3,SP
407842,48,45,,,2063,Jose Veras,,RP
501925,44,45,,,3281,Joe Smith,40,RP
502264,42,,,,,"Adcock, Nathan ",T,
469159,37,140,,,6371,Henry Rodriguez,27.7,SP
