mlbamID,G ,G_batting,G_defense,G_p,GS ,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of
445216,73,73,73,73,0,0,0,0,0,0,0,0,0,0
445246,39,39,39,39,0,0,0,0,0,0,0,0,0,0
445276,51,48,51,51,0,0,0,0,0,0,0,0,0,0
445590,6,6,6,6,0,0,0,0,0,0,0,0,0,0
445612,11,11,11,11,0,0,0,0,0,0,0,0,0,0
445926,4,0,4,4,0,0,0,0,0,0,0,0,0,0
445933,20,20,17,0,16,0,4,0,0,0,5,0,9,14
445968,5,5,5,5,5,0,0,0,0,0,0,0,0,0
445971,13,10,13,13,0,0,0,0,0,0,0,0,0,0
445988,129,129,128,0,127,0,2,0,42,0,100,0,0,100
446003,6,5,6,6,0,0,0,0,0,0,0,0,0,0
446044,7,7,5,0,3,0,0,1,0,4,0,0,0,0
446099,74,71,74,74,0,0,0,0,0,0,0,0,0,0
446185,66,61,66,66,0,0,0,0,0,0,0,0,0,0
446192,2,2,2,0,2,2,0,0,0,0,0,0,0,0
446208,22,22,19,0,16,19,0,0,0,0,0,0,0,0
446209,28,1,28,28,8,0,0,0,0,0,0,0,0,0
446248,5,5,5,5,0,0,0,0,0,0,0,0,0,0
446263,100,100,83,0,79,0,43,0,0,0,4,0,42,46
446264,8,8,7,7,7,0,0,0,0,0,0,0,0,0
446290,31,30,31,31,0,0,0,0,0,0,0,0,0,0
446308,139,139,133,0,133,132,1,0,0,0,0,0,0,0
446321,15,15,15,15,10,0,0,0,0,0,0,0,0,0
446334,133,133,130,0,131,0,0,0,130,0,0,0,0,0
446341,1,0,1,1,0,0,0,0,0,0,0,0,0,0
446345,11,11,11,0,9,0,0,0,0,0,3,0,8,11
446359,11,11,11,0,9,0,0,0,0,11,0,0,0,0
446372,3,0,3,3,0,0,0,0,0,0,0,0,0,0
446381,143,143,139,0,128,0,0,135,0,5,0,0,0,0
446386,15,15,14,0,12,0,0,0,0,0,3,0,11,14
