mlbamID,playerName,team,league,defaultPos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF
123040,Mark Sweeney,,,,39,109,161,18,35,7,0,3,18,1,0,22,41,1,0,2,0,0,0,1,0,0,1
123041,Mike Sweeney,SEA,AL,,35,110,386,41,98,20,1,12,53,1,0,32,59,4,0,13,0,0,0,0,0,0,0
123107,Fernando Tatis,NYN,NL,,34,118,396,55,101,20,2,15,53,4,2,45,89,4,0,6,0,4,0,51,0,39,71
123173,Miguel Tejada,HOU,NL,,35,142,562,78,160,30,2,18,74,4,2,38,71,6,0,0,0,0,157,0,0,0,0
123245,Frank Thomas,,,,41,117,401,50,97,14,0,21,69,0,0,64,84,4,0,0,0,0,0,0,0,0,0
123272,Jim Thome,CHA,AL,,38,127,428,74,103,18,0,28,79,0,0,86,130,4,0,0,0,0,0,0,0,0,0
123609,Javier Valentin,WAS,NL,,33,97,198,21,51,11,0,5,29,0,0,20,30,1,17,11,0,4,0,0,0,0,0
123660,Jason Varitek,BOS,AL,,37,120,404,47,92,18,1,14,51,1,1,55,110,4,131,0,0,0,0,0,0,0,0
123689,Jorge Velandia,CLE,AL,,34,116,419,45,95,20,2,5,36,4,2,30,102,3,0,0,2,0,4,0,0,0,0
123723,Jose Vidro,,,,34,120,439,52,120,22,1,8,49,1,0,42,49,1,0,9,0,0,0,0,0,0,0
123744,Omar Vizquel,TEX,AL,,42,128,450,49,105,17,2,3,36,9,5,38,51,2,0,0,0,0,84,0,0,0,0
124693,Dmitri Young,WAS,NL,,35,116,396,47,108,21,1,13,52,1,0,43,76,2,0,38,0,0,0,0,0,0,0
124748,Gregg Zaun,BAL,AL,,38,110,330,41,76,14,0,9,41,1,1,50,51,2,79,0,0,0,0,0,0,0,0
132660,Jolbert Cabrera,BAL,AL,,36,105,329,37,80,17,2,7,34,4,2,20,70,5,0,0,3,3,9,17,0,3,20
132720,Paul Bako,CHN,NL,,37,99,283,23,57,10,1,4,26,1,1,30,86,1,96,0,0,0,0,0,0,0,0
132788,Kevin Millar,TOR,AL,,37,131,454,59,107,23,0,15,56,1,0,62,89,5,0,130,0,0,0,0,0,0,0
132880,Daryle Ward,CIN,NL,,34,113,195,24,50,11,0,8,31,1,0,25,38,1,0,13,0,0,0,6,0,3,9
132961,Geoff Jenkins,PHI,NL,,34,132,413,50,106,22,1,17,56,2,1,38,107,5,0,0,0,0,0,0,0,90,90
133120,Jason Wood,FLO,NL,,39,113,318,36,67,12,1,5,37,1,0,28,89,2,0,0,0,0,0,0,0,0,0
133140,Scott McClain,SFN,NL,,37,134,472,66,112,22,1,22,82,2,1,52,110,2,0,4,0,4,0,0,0,0,0
133160,Randy Winn,SFN,NL,,35,146,563,74,158,34,2,12,55,13,4,49,80,3,0,0,0,0,0,15,10,133,150
133226,Mike Redmond,MIN,AL,,38,82,280,26,72,14,0,2,34,0,0,15,29,4,30,0,0,0,0,0,0,0,0
133321,Alex Cora,NYN,NL,,33,96,228,29,57,10,2,3,19,3,1,18,27,6,0,0,7,0,69,0,0,0,0
133380,Aramis Ramirez,CHN,NL,,31,138,519,81,151,33,2,28,99,1,1,55,73,6,0,0,0,147,0,0,0,0,0
134001,Paul Lo Duca,,,,37,115,404,44,105,20,1,5,41,2,1,25,32,4,26,17,0,0,0,5,0,0,5
134002,Ramon Martinez,,,,36,82,203,21,49,9,0,2,26,1,0,19,24,1,0,0,5,0,0,0,0,0,0
134181,Adrian Beltre,SEA,AL,,30,149,584,79,154,33,2,24,86,8,2,47,103,3,0,0,0,139,0,0,0,0,0
134260,Bengie Molina,SFN,NL,,34,125,453,41,125,22,1,16,71,1,0,21,44,4,136,0,0,0,0,0,0,0,0
134341,Jay Payton,,,,36,125,402,52,104,18,2,9,49,5,2,24,50,2,0,0,0,0,0,71,38,4,108
135783,Ramon Castro,NYN,NL,,33,117,318,43,76,15,1,15,53,1,0,32,83,2,47,0,0,0,0,0,0,0,0
135784,Placido Polanco,DET,AL,,33,128,525,79,159,29,2,7,55,4,2,32,35,6,0,0,141,0,0,0,0,0,0
136267,Troy Glaus,SLN,NL,,32,140,490,75,127,24,1,27,84,2,1,83,111,3,0,4,0,146,0,0,0,0,0
136500,Wes Helms,FLO,NL,,33,121,239,24,61,13,1,6,33,1,0,20,57,3,0,42,0,60,0,1,0,0,1
136660,Mark DeRosa,CLE,AL,,34,133,452,68,119,24,2,12,61,3,1,52,96,5,0,1,95,22,1,27,0,38,59
136664,Michael Barrett,TOR,AL,,32,115,385,40,97,22,1,11,46,1,1,30,59,3,30,0,0,0,0,0,0,0,0
136722,Carlos Guillen,DET,AL,,33,129,476,75,137,28,3,14,63,10,4,56,77,3,0,24,0,89,0,2,0,0,2
136724,Marlon Anderson,NYN,NL,,35,115,211,28,52,10,1,6,26,3,2,19,42,1,0,6,1,0,0,25,0,0,25
136767,Eric Chavez,OAK,AL,,31,127,473,67,117,26,1,19,67,3,1,58,100,1,0,0,0,15,0,0,0,0,0
136770,J.D. Drew,BOS,AL,,33,124,424,75,113,26,3,15,66,3,1,77,91,3,0,0,0,0,0,0,1,106,106
136780,Mike Lowell,BOS,AL,,35,138,507,65,138,32,1,16,78,2,1,45,65,3,0,0,0,110,0,0,0,0,0
136860,Carlos Beltran,NYN,NL,,32,145,545,101,148,32,2,27,97,17,3,79,98,2,0,0,0,0,0,0,158,0,158
137002,Gabe Kapler,TBA,AL,,33,96,220,34,59,12,1,6,27,2,1,15,37,2,0,0,0,0,0,17,36,14,66
137006,Doug Mientkiewicz,LAN,NL,,35,110,297,39,79,18,1,6,37,1,0,37,41,3,0,37,0,33,0,0,0,10,10
137140,Russell Branyan,SEA,AL,,33,95,241,30,55,11,0,13,33,2,1,35,93,1,0,5,0,35,0,0,0,0,0
150020,Jerry Hairston,CIN,NL,,33,111,306,46,81,18,2,6,33,9,3,25,46,4,0,0,7,1,36,24,17,12,42
150021,Darnell McDonald,,,,30,124,482,61,122,27,3,10,54,16,5,37,115,2,,,,,,,,,
150029,Jayson Werth,PHI,NL,,30,119,364,58,96,17,2,15,57,12,2,55,107,3,0,0,0,0,0,28,31,88,125
150040,Jose Molina,NYA,AL,,34,100,270,25,60,13,0,5,25,1,0,13,59,3,97,1,0,0,0,0,0,0,0
150061,Julio Lugo,BOS,AL,,33,130,476,63,125,29,2,6,46,20,6,47,75,3,0,0,0,0,81,1,0,0,1
150071,Ron Belliard,WAS,NL,,34,134,463,56,126,27,1,13,59,3,1,39,73,2,0,33,29,31,5,0,0,0,0
150089,Michel Hernandez,TBA,AL,,30,90,295,27,76,14,1,4,28,1,1,25,40,1,4,0,0,0,0,0,0,0,0
150093,Alfonso Soriano,CHN,NL,,33,135,558,95,155,32,2,35,81,20,6,46,129,4,0,0,1,0,0,108,0,0,108
150100,Pat Burrell,TBA,AL,,32,148,492,66,116,24,1,23,81,0,0,99,137,2,0,0,0,0,0,155,0,0,155
150134,Toby Hall,HOU,NL,,33,115,363,24,93,18,0,7,36,1,0,17,40,3,37,0,0,0,0,0,0,0,0
150137,Paul Hoover,PHI,NL,,33,96,314,32,65,15,1,5,30,2,1,28,98,2,13,0,0,0,0,0,0,0,0
150148,Rod Barajas,TOR,AL,,33,111,366,46,88,20,0,13,45,0,0,25,66,5,98,4,0,0,0,0,0,0,0
150178,Jason LaRue,SLN,NL,,35,107,304,28,61,13,1,8,35,1,0,34,79,6,57,3,0,0,0,0,0,0,0
150207,Paul Phillips,COL,NL,,32,110,381,39,88,18,1,5,34,1,0,23,55,1,4,0,0,0,0,0,0,0,0
150212,Michael Cuddyer,MIN,AL,,30,133,482,73,127,27,3,14,69,5,1,55,99,5,0,2,0,0,0,0,1,58,58
150217,Cristian Guzman,WAS,NL,,31,125,477,61,137,26,5,7,41,5,2,28,57,3,0,0,0,0,136,0,0,0,0
150218,Jacque Jones,CIN,NL,,34,130,443,58,112,22,2,15,59,5,2,40,91,3,0,0,0,0,0,27,5,3,34
150224,Chad Moeller,,,,34,70,193,18,39,8,0,4,19,0,0,13,51,2,33,2,0,3,0,0,0,0,0
150229,A.J. Pierzynski,CHA,AL,,32,132,491,60,131,25,1,15,56,1,0,24,70,6,131,0,0,0,0,0,0,0,0
150244,Jason Tyner,HOU,NL,,32,128,426,58,116,19,2,1,29,8,3,34,46,3,0,0,0,0,0,1,0,0,1
150268,Pedro Feliz,PHI,NL,,32,146,517,63,133,26,3,21,78,1,1,33,80,1,0,0,0,129,1,0,0,0,0
150275,Yorvit Torrealba,COL,NL,,30,112,372,42,92,21,1,9,47,3,2,28,74,5,67,0,0,0,0,0,0,0,0
150286,Mike Lamb,MIL,NL,,33,119,316,44,82,15,2,8,40,1,1,32,50,1,0,9,0,56,0,0,0,0,0
150289,Carlos Pena,TBA,AL,,31,142,488,79,124,23,1,31,92,2,1,89,149,8,0,132,0,0,0,0,0,0,0
150317,Joe Crede,MIN,AL,,31,126,437,50,110,22,1,17,63,2,1,29,60,4,0,0,0,97,0,0,0,0,0
150322,Mark Johnson,SLN,NL,,33,80,247,25,61,11,0,3,30,1,1,37,38,2,10,0,0,0,0,0,0,0,0
150324,Carlos Lee,HOU,NL,,33,140,536,79,157,31,1,30,103,8,3,48,62,3,0,0,0,0,0,110,0,0,110
150348,John McDonald,TOR,AL,,34,111,272,31,64,13,1,2,25,5,2,15,43,2,0,0,1,4,67,0,0,0,0
150353,Dave Roberts,SFN,NL,,37,110,368,56,95,17,5,3,27,19,6,45,55,1,0,0,0,0,0,32,0,0,32
150367,Pablo Ozuna,,,,34,79,171,22,47,9,1,2,12,5,3,8,20,2,0,0,37,17,4,2,0,0,2
150396,Milton Bradley,CHN,NL,,31,114,392,71,117,22,1,21,66,7,2,67,88,5,0,0,0,0,0,1,0,19,20
150398,Geoff Blum,HOU,NL,,36,109,300,32,72,15,1,8,35,1,1,24,49,2,0,5,8,75,4,0,0,0,0
150411,Brian Schneider,NYN,NL,,32,118,372,33,92,17,1,8,47,1,0,45,56,2,109,0,0,0,0,0,0,0,0
150415,Brad Wilkerson,,,,32,121,370,51,86,21,2,11,45,5,3,50,106,2,0,4,0,0,0,29,5,64,93
150416,Danny Ardoin,LAN,NL,,34,111,326,37,66,14,1,6,26,2,1,34,104,5,24,0,0,0,0,0,0,0,0
150421,Ramon Hernandez,CIN,NL,,33,122,425,49,113,22,1,16,70,1,0,37,63,5,127,2,0,0,0,0,0,0,0
