playerName,mlbamID,Tm,Lg,Pos
Drew Pomeranz,519141,COL,NL,SP
Greg Reynolds,453353,COL,NL,SP
Cory Riordan,476225,COL,NL,SP
Esmil Rogers,469134,COL,NL,SP
Rob Scahill,543746,COL,NL,SP
Nick Schnaitmann,543751,COL,NL,SP
Josh Slaats,592752,COL,NL,SP
Kevin Slowey,458713,CLE,AL,SP
Erik Stavert,543816,COL,NL,SP
Josh Sullivan,489346,COL,NL,SP
Alex White,502229,COL,NL,SP
Duane Below,502102,DET,AL,SP
Endrys Briceno,553968,DET,AL,SP
Brooks Brown,453156,DET,AL,SP
Alex Burgos,548183,DET,AL,SP
Josue Carreno,541644,DET,AL,SP
Casey Crosby,518582,DET,AL,SP
Edgar De La Rosa,570563,DET,AL,SP
Jack Duffey,594804,DET,AL,SP
Kevin Eichhorn,543130,DET,AL,SP
Trevor Feeney,518671,DET,AL,SP
Jeff Ferrell,594815,DET,AL,SP
Doug Fister,450729,DET,AL,SP
L.J. Gagnier,502659,DET,AL,SP
Andrew Oliver,501989,DET,AL,SP
Wilsen Palacios,514640,DET,AL,SP
Brenny Paulino,593490,DET,AL,SP
Rick Porcello,519144,DET,AL,SP
Luke Putkonen,446367,DET,AL,SP
Kyle Ryan,594986,DET,AL,SP
Luis Sanz,500906,DET,AL,SP
Luis Sanz,544935,DET,AL,SP
Max Scherzer,453286,DET,AL,SP
Brennan Smith,592759,DET,AL,SP
Drew Smyly,592767,DET,AL,SP
Mark Sorensen,543802,DET,AL,SP
Jacob Turner,545363,DET,AL,SP
Justin Verlander,434378,DET,AL,SP
Thad Weber,519403,DET,AL,SP
Jared Wesson,489414,DET,AL,SP
Adam Wilk,573244,DET,AL,SP
Ruben Alaniz,595798,HOU,NL,SP
Jonnathan Aristil,469142,HOU,NL,SP
Ricardo Batista,542170,HOU,NL,SP
Brian Bogusevic,460131,HOU,NL,SP
Jake Buchanan,594772,HOU,NL,SP
Tanner Bushue,571533,HOU,NL,SP
Jose Cisnero,542585,HOU,NL,SP
Paul Clemens,518560,HOU,NL,SP
Jarred Cosart,543054,HOU,NL,SP
Jamaine Cotton,571585,HOU,NL,SP
Luis Cruz,543071,HOU,NL,SP
Robert Donovan,502403,HOU,NL,SP
Bobby Doran,571625,HOU,NL,SP
Brad Dydalewicz,543126,HOU,NL,SP
Michael Feliz,593140,HOU,NL,SP
Michael Foltynewicz,592314,HOU,NL,SP
Enderson Franco,575070,HOU,NL,SP
Kyle Greenwalt,518741,HOU,NL,SP
Zachary Grimmett,543256,HOU,NL,SP
J.A. Happ,457918,HOU,NL,SP
Lucas Harrell,449173,HOU,NL,SP
Brad James,453592,HOU,NL,SP
Dallas Keuchel,572971,HOU,NL,SP
Jordan Lyles,543475,HOU,NL,SP
Juan Minaya,573668,HOU,NL,SP
Wes Musick,489158,HOU,NL,SP
Brett Myers,408206,HOU,NL,SP
Bud Norris,502032,HOU,NL,SP
Brett Oberholtzer,519085,HOU,NL,SP
Luis Ordosgoitti,595833,HOU,NL,SP
Lance Pendleton,459983,HOU,NL,SP
Jose Perdomo,554058,HOU,NL,SP
Sergio Perez,503941,HOU,NL,SP
Yuri Perez,515269,HOU,NL,SP
Carlos Quevedo,514894,HOU,NL,SP
Euris Quezada,542300,HOU,NL,SP
Francis Ramirez,554059,HOU,NL,SP
Andrew Robinson,572082,HOU,NL,SP
Wandy Rodriguez,434643,HOU,NL,SP
Ryan Rowland-Smith,434884,CHN,NL,SP
Ross Seaton,543758,HOU,NL,SP
Thomas Shirley,592739,HOU,NL,SP
Henry Sosa,464400,HOU,NL,SP
Frederick Tiburcio,554062,HOU,NL,SP
