mlbamID,playerName,team,league,defaultPos,Age,W,L,S,G,GS,IP,H,R,ER,HR,BB,K,WP,HBP,G_SP,G_RP
446088,Adrian Casanova,DET,AL,C,26,0,0,,9,0,10,11,6,5,1,3,7,0,0,,
446099,John Axford,MIL,NL,RP,26,3,4,,28,3,46,41,29,28,4,48,43,6,0,0,7
446160,John Slusarz,,,,25,1,2,,16,0,20,28,21,20,6,16,13,5,0,,
446162,Sean Watson,CIN,NL,RP,24,2,6,,47,3,63,68,53,50,14,53,55,6,0,,
446185,Logan Ondrusek,CIN,NL,RP,24,3,5,,48,4,71,77,45,40,6,38,41,5,0,,
446209,Jesse Litsch,TOR,AL,SP,24,4,4,,12,11,69,72,37,35,9,17,40,2,3,2,0
446213,Brett Sinkbeil,FLO,NL,RP,25,3,7,,37,13,91,110,71,63,14,54,46,13,0,,
446222,Chance Corgan,,,,23,2,6,,12,8,51,60,35,31,8,19,29,5,0,,
446231,Neal Frontz,TBA,AL,RP,25,2,2,,46,0,61,74,45,40,8,30,31,8,0,,
446248,Bryan Augenstein,ARI,NL,SP,23,4,4,,14,12,67,74,38,32,5,17,39,1,1,2,5
446264,Barry Enright,ARI,NL,SP,23,6,10,,24,23,132,158,94,83,20,44,74,4,0,,
446267,Cody Evans,ARI,NL,RP,26,4,12,,31,16,110,146,101,91,26,50,44,7,0,,
446290,Daniel Moskos,PIT,NL,SP,23,5,11,,25,20,113,134,79,71,15,60,56,9,0,,
446291,Charles Nolte,,,,23,3,5,,42,1,71,94,61,54,11,45,34,21,0,,
446292,Adam Olbrychowski,,,,23,2,6,,31,8,64,84,62,58,13,59,34,5,0,,
446321,Ross Detwiler,WAS,NL,SP,23,3,6,,15,15,75,80,44,39,6,38,50,2,1,14,1
446324,Seth Garrison,,,,24,4,10,,24,17,92,124,80,70,17,41,45,5,0,,
446326,Scott Green,,,,24,2,4,,30,0,31,39,24,22,5,17,19,4,0,,
446332,David Kopp,SLN,NL,SP,24,3,6,,17,14,74,80,46,42,7,46,42,8,0,,
446333,Eddie Kunz,NYN,NL,RP,23,2,4,,32,0,39,39,25,23,5,24,25,5,0,,
446337,Eric Niesen,NYN,NL,SP,24,5,11,,24,23,111,115,74,67,16,69,79,5,0,,
446341,Scott Richmond,TOR,AL,SP,30,4,7,,14,13,76,81,52,48,15,31,59,3,1,24,3
446354,Eric Berger,CLE,AL,SP,23,7,7,,20,20,99,112,64,57,8,64,62,9,0,,
446367,Luke Putkonen,,,,23,5,7,,20,20,101,122,70,61,7,56,49,9,0,,
446372,Corey Kluber,SDN,NL,SP,23,5,12,,25,24,124,127,82,75,22,81,96,11,0,,
446375,Kirkland Rivers,,,,24,1,2,,24,0,25,29,24,22,5,31,19,5,0,,
446379,Cory Arbiso,NYA,AL,SP,23,3,6,,28,10,72,101,64,54,15,21,31,3,0,,
446398,Andrew Carignan,,,,23,1,2,,22,0,22,21,15,14,2,21,19,3,0,,
446399,Brett Cecil,TOR,AL,SP,23,5,4,,16,16,78,86,49,44,10,34,54,1,2,17,1
446401,Jason Dominguez,,,,24,1,2,,24,0,33,38,22,20,5,14,18,3,0,,
446421,Jordan Ellis,,,,24,3,5,,22,0,36,36,23,22,4,26,30,18,0,,
446422,Michael Griffin,CIN,NL,3B,26,0,0,,10,0,11,10,5,4,1,4,10,0,0,,
