mlbamID,playerName,team,league,IP,W,L,S,H,R,ER,HR,K,BB,IBB,HBP,WP,BK,G_SP,G_RP
435400,Jason Motte,SLN,NL,11,0,0,1,5,9,1,0,16,3,2,0,4,1,0,12
435500,Dan Giese,NYA,AL,43.33,1,3,0,39,52,17,3,29,14,1,9,5,1,3,17
435538,Bill Bray,CIN,NL,47,2,2,0,50,103,15,4,54,24,2,10,4,2,0,63
435618,Jeremy Accardo,TOR,AL,12.33,0,3,4,15,12,9,1,5,4,0,0,0,0,0,16
435619,Patrick Misch,SFN,NL,52.33,0,3,0,56,10,33,11,38,15,0,0,0,0,7,8
435620,Jack Taschner,SFN,NL,48,3,2,0,57,13,26,5,39,24,0,0,1,0,0,67
435638,Zach Jackson,CLE,AL,58.33,2,3,0,69,78,36,7,31,16,6,12,7,1,9,2
435658,Jorge Campillo,ATL,NL,158.67,8,7,0,158,88,69,18,107,38,6,6,1,3,25,14
441368,Alberto Castillo,BAL,AL,26,1,0,0,27,9,11,3,23,10,0,0,0,0,0,28
442707,Mark DiFelice,MIL,NL,19,1,0,0,17,28,6,4,20,4,4,4,3,0,0,15
443563,Alex Serrano,LAA,AL,1,0,0,0,1,21,0,0,1,0,2,1,2,1,0,1
444127,Warner Madrigal,TEX,AL,36,0,2,1,36,15,19,4,22,14,0,1,1,0,1,30
444354,Daryl Thompson,CIN,NL,14.33,0,2,0,20,18,11,3,6,7,2,1,0,0,3,0
444370,Carlos Muniz,NYN,NL,23.33,1,1,0,24,11,14,4,16,7,2,0,2,0,0,18
444371,Jeff Karstens,PIT,NL,51.33,2,6,0,56,82,23,7,23,13,2,12,6,1,9,0
444382,Eddie Bonine,DET,AL,26.67,2,1,0,36,1,16,3,9,5,0,0,1,0,5,0
444440,Nick Adenhart,LAA,AL,12,1,0,0,18,8,12,0,4,13,2,0,0,0,3,0
444446,Collin Balester,WAS,NL,80,3,7,0,92,79,49,12,50,28,2,8,4,0,15,0
444520,Craig Breslow,MIN,AL,47,0,2,1,34,188,10,1,39,19,3,18,5,1,0,49
444836,Aaron Laffey,CLE,AL,93.67,5,7,0,103,4,44,10,43,31,0,1,2,0,16,0
444857,Scott Feldman,TEX,AL,151.33,6,8,0,161,12,89,22,74,56,0,2,0,0,25,3
444864,Jimmy Barthmaier,PIT,NL,10.33,0,2,0,16,10,12,3,6,8,1,2,0,0,3,0
444865,Jason Hirsh,COL,NL,8.67,0,0,0,15,127,8,3,6,4,1,7,7,1,1,3
444970,James Parr,ATL,NL,22.33,1,0,0,29,10,12,4,14,9,0,2,0,0,5,0
445060,Ricky Nolasco,FLO,NL,212.33,15,8,0,192,21,83,28,186,42,4,2,0,0,32,2
445090,Bobby Korecky,ARI,NL,17.67,2,0,0,19,8,9,2,6,8,3,1,0,0,0,16
445156,Sean Marshall,CHN,NL,65.33,3,5,1,60,15,28,9,58,23,2,2,0,0,7,27
445222,Jack Cassel,CLE,AL,30.33,1,1,0,38,102,19,5,14,8,4,7,2,0,3,6
445246,Jeff Fulchino,HOU,NL,14,0,1,0,21,91,14,2,12,8,1,2,17,2,0,12
445590,Eric Stults,LAN,NL,38.67,2,3,0,38,20,15,6,30,13,0,2,0,0,7,0
445926,Jesse Chavez,PIT,NL,15,0,1,0,20,5,11,2,16,9,0,0,1,0,0,15
445968,Dana Eveland,OAK,AL,168,9,9,0,172,9,81,10,118,77,0,1,1,0,29,0
445984,Jesus Delgado,SEA,AL,2,0,0,0,1,60,1,0,0,3,5,3,0,0,0,2
446207,Josh Geer,SDN,NL,27,2,1,0,29,94,8,2,16,9,0,12,6,0,5,0
446209,Jesse Litsch,TOR,AL,176,13,9,0,178,0,70,20,99,39,0,0,0,0,28,1
446333,Eddie Kunz,NYN,NL,2.67,0,0,0,5,34,4,1,1,1,3,1,2,0,0,4
446341,Scott Richmond,TOR,AL,27,1,3,0,32,10,12,2,20,2,1,0,0,0,5,0
