mlbamID,playerName,team,league,defaultPos,age,AB,R,H,2B,3B,HR,BB,HBP,SF,SH,RBI,SO,SB,CS,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF
,Chris Hopkins,,,,20,213,19,40,5,0,2,15,2,1,3,15,68,6,6,,,,,,,,,
,Chris House,,,,21,131,11,28,6,0,2,10,1,1,1,11,38,1,0,,,,,,,,,
,Chris Jackson,,,,21,274,32,65,9,1,4,11,3,0,2,22,99,7,2,,,,,,,,,
,Chris Johnson,,,,23,388,35,89,17,0,7,15,3,4,1,44,44,2,0,,,,,,,,,
,Chris Kroski,CIN,NL,C,26,147,15,31,7,0,3,9,2,1,1,13,8,0,0,,,,,,,,,
,Chris Lubanski,KCA,AL,OF,23,427,46,96,24,4,11,33,1,3,3,44,57,2,0,,,,,,,,,
,Chris Magruder,,,,32,272,26,65,16,1,6,22,5,2,4,31,53,4,1,,,,,,,,,
,Chris Malec,,,,25,392,49,96,20,1,5,39,9,2,1,43,29,0,1,,,,,,,,,
,Chris McConnell,,,,22,394,33,77,21,0,2,25,6,2,4,26,33,7,6,,,,,,,,,
,Chris Minaker,,,,24,381,35,81,19,0,3,17,2,4,3,31,35,1,1,,,,,,,,,
,Chris Nash,,,,21,209,17,43,9,0,3,12,2,2,1,21,75,1,1,,,,,,,,,
,Chris Nowak,TBA,AL,3B,25,452,57,111,26,1,8,43,6,3,0,57,44,2,2,,,,,,,,,
,Chris Parmelee,MIN,AL,1B,20,266,29,58,9,1,10,29,3,3,1,38,100,2,1,,,,,,,,,
,Chris Pettit,,,,23,335,37,83,22,1,8,22,7,2,2,40,30,2,1,,,,,,,,,
,Chris Prieto,,,,36,181,17,47,10,1,5,16,2,2,2,23,32,3,1,,,,,,,,,
,Chris Rahl,,,,24,446,44,108,29,2,6,18,2,2,1,33,48,6,5,,,,,,,,,
,Chris Richard,TBA,AL,1B,34,396,55,94,20,2,14,41,8,3,1,57,63,2,0,,,,,,,,,
,Chris Roberson,,,,29,428,48,110,15,2,5,28,2,3,3,40,38,8,5,,,,,,,,,
,Chris Robinson,,,,24,249,22,57,13,0,2,14,2,1,4,24,23,0,1,,,,,,,,,
,Chris Rosenbaum,,,,24,165,13,36,9,0,2,9,2,1,0,15,27,1,0,,,,,,,,,
,Chris Shehan,,,,21,80,6,21,4,0,2,6,1,0,1,10,13,2,0,,,,,,,,,
,Chris Simmons,,,,22,99,10,23,5,0,1,6,1,2,1,11,24,1,0,,,,,,,,,
,Chris Singleton,,,,36,218,22,56,12,1,6,22,2,2,2,33,42,2,1,,,,,,,,,
,Chris Solis,,,,22,144,11,23,7,0,1,8,1,0,1,10,51,1,0,,,,,,,,,
,Chris Swauger,,,,21,225,25,61,10,0,7,11,2,1,1,32,64,1,0,,,,,,,,,
,Chris Valaika,CIN,NL,SS,22,504,64,130,26,1,14,26,6,4,2,60,63,4,2,,,,,,,,,
,Chris Vinyard,,,,22,399,39,87,19,0,9,32,5,3,0,45,48,1,2,,,,,,,,,
,Chris Walker,,,,28,357,35,78,12,3,2,17,2,2,4,23,33,4,3,,,,,,,,,
,Chris White,,,,20,158,14,34,8,0,2,9,0,0,0,11,28,4,1,,,,,,,,,
,Chris Widger,,,,38,171,16,37,8,0,3,15,1,2,2,17,33,1,1,,,,,,,,,
,Chris Woodward,,,,32,239,23,57,12,1,3,20,1,2,4,25,45,2,1,,,,,,,,,
,Christian Colonel,COL,NL,OF,26,447,64,134,33,0,11,28,2,2,1,50,34,3,2,,,,,,,,,
,Christian Lara,,,,23,356,32,68,15,3,2,24,2,2,4,30,50,3,1,,,,,,,,,
,Christian Lopez,,,,23,345,25,63,11,1,3,16,3,2,3,22,20,0,1,,,,,,,,,
,Christian Marrero,,,,22,450,43,97,23,1,10,37,3,4,1,45,101,7,4,,,,,,,,,
,Christian Rosa,,,,21,160,19,41,6,0,3,11,1,1,1,16,44,3,1,,,,,,,,,
,Christian Vitters,,,,23,204,15,37,7,0,2,12,2,2,1,17,22,1,1,,,,,,,,,
,Christopher De La Cruz,,,,26,250,22,56,9,0,4,26,2,1,1,34,49,2,4,,,,,,,,,
,Christopher Getz,,,,25,74,8,19,3,0,2,6,1,1,1,8,11,2,1,,,,,,,,,
,Christopher Marrero,,,,20,349,38,80,16,2,11,23,3,3,0,41,42,0,0,,,,,,,,,
,Christopher Nelson,COL,NL,SS,22,410,48,100,29,1,8,30,4,3,2,49,36,3,1,,,,,,,,,
,Christopher Snyder,,,,27,72,5,17,3,0,2,5,1,1,0,9,13,0,0,,,,,,,,,
,Chuckie Caufield,,,,25,461,39,97,22,1,5,29,9,5,1,50,53,3,2,,,,,,,,,
,Cirilo Cumberbatch,,,,22,301,30,63,11,0,2,21,5,3,2,28,36,3,2,,,,,,,,,
,Ciro Rosero,,,,22,163,15,38,8,0,2,7,2,1,2,15,34,4,2,,,,,,,,,
,Clay Fuller,,,,21,452,53,101,18,4,7,39,9,2,3,33,169,21,8,,,,,,,,,
,Clay Harris,,,,25,344,42,84,17,0,10,34,5,2,1,47,22,0,1,,,,,,,,,
,Clayton Conner,,,,21,171,21,41,9,1,5,8,3,1,0,20,26,1,0,,,,,,,,,
,Cliff Andersen,,,,21,388,35,83,14,1,4,23,7,1,3,20,169,6,5,,,,,,,,,
,Cliff Remole,,,,25,211,16,42,10,0,2,11,1,1,1,16,25,1,2,,,,,,,,,
,Clint Robinson,,,,23,400,39,98,22,1,12,23,2,2,1,49,72,0,3,,,,,,,,,
,Clinton Naylor,,,,19,88,8,17,4,0,1,8,1,0,0,9,27,1,0,,,,,,,,,
,Coby Smith,,,,27,331,35,76,15,1,3,29,6,3,5,23,39,5,3,,,,,,,,,
,Cody Cipriano,,,,23,198,19,37,8,1,3,18,3,2,1,17,29,2,0,,,,,,,,,
,Cody Clark,,,,26,175,15,36,7,0,4,8,3,1,2,19,14,1,1,,,,,,,,,
,Cody Ehlers,,,,26,404,47,87,24,0,10,38,1,2,1,50,46,0,0,,,,,,,,,
,Cody Fuller,,,,25,289,28,58,12,2,3,16,8,2,6,19,27,2,2,,,,,,,,,
,Cody Haerther,SLN,NL,OF,25,300,29,74,18,1,4,23,2,1,1,29,33,1,1,,,,,,,,,
