mlbamID,playerName,IP,W,L,H,R,ER,HR,BB,K,S,team,league,defaultPos,G_SP,G_RP
457918,J.A. Happ,178,10,9,173,94,87,27,71,142,0,PHI,NL,SP,23,12
429781,Kevin Correia,178,10,10,172,84,79,18,60,128,0,SDN,NL,SP,33,0
429722,Ervin Santana,176,10,10,185,97,89,25,51,148,0,LAA,AL,SP,23,1
346798,Kyle Lohse,176,10,10,186,94,86,20,54,110,0,SLN,NL,SP,22,1
112020,Chris Carpenter,176,13,6,159,66,61,11,42,129,0,SLN,NL,SP,28,0
458713,Kevin Slowey,175,10,10,189,92,84,26,32,131,0,MIN,AL,SP,16,0
120485,Andy Pettitte,175,11,9,185,92,83,18,61,125,0,NYA,AL,SP,32,0
400061,Roy Oswalt,175,9,9,179,83,76,18,44,134,0,HOU,NL,SP,30,0
519144,Rick Porcello,175,10,11,194,102,96,24,61,90,0,DET,AL,SP,31,0
431148,Scott Kazmir,175,11,9,168,90,83,21,70,161,0,LAA,AL,SP,26,0
453286,Max Scherzer,174,10,9,170,89,79,18,70,165,0,DET,AL,SP,30,0
448694,Randy Wells,174,10,10,183,91,84,20,55,118,0,CHN,NL,SP,27,0
456701,Homer Bailey,173,7,12,181,101,92,21,76,132,0,CIN,NL,SP,20,0
446454,Brian Bannister,172,8,12,194,104,95,22,54,100,0,KCA,AL,SP,26,0
425386,Jeremy Guthrie,170,9,11,185,97,90,25,53,101,0,BAL,AL,SP,33,0
434884,Ryan Rowland-Smith,170,9,9,167,85,78,19,58,104,0,SEA,AL,SP,15,0
451085,Brian Matusz,170,9,12,187,100,89,20,66,130,0,BAL,AL,SP,8,0
451788,Shaun Marcum,170,10,9,165,87,82,24,55,135,0,TOR,AL,SP,0,0
456501,Johnny Cueto,170,9,11,168,92,84,25,60,142,0,CIN,NL,SP,30,0
456043,Jonathan Sanchez,169,9,11,157,89,81,19,84,178,0,SFN,NL,SP,29,3
460024,Luke Hochevar,168,7,13,197,110,100,22,56,110,0,KCA,AL,SP,25,0
450203,Charlie Morton,168,10,10,170,86,79,14,70,119,0,PIT,NL,SP,18,0
424324,Cliff Lee,168,11,8,166,70,64,14,37,126,0,SEA,AL,SP,34,0
451584,Wade Davis,168,9,10,172,97,88,19,72,122,0,TBA,AL,SP,6,0
218894,Vicente Padilla,166,9,10,173,91,84,20,65,121,0,LAN,NL,SP,25,1
407890,Colby Lewis,166,10,9,172,88,81,21,45,129,0,TEX,AL,SP,0,0
493133,Hiroki Kuroda,165,10,8,162,76,71,16,40,113,0,LAN,NL,SP,20,1
448269,Brad Bergesen,165,8,11,194,99,90,20,49,81,0,BAL,AL,SP,19,0
433657,Dave Bush,165,9,10,171,94,88,25,49,116,0,MIL,NL,SP,21,1
499877,Kenshin Kawakami,164,10,9,162,83,76,19,55,120,0,ATL,NL,SP,25,7
475416,Justin Masterson,164,10,9,165,87,80,16,72,128,0,CLE,AL,SP,16,26
207267,Brad Penny,163,9,9,171,85,79,17,56,104,0,SLN,NL,SP,30,0
453329,Clay Buchholz,161,10,8,166,87,80,18,63,125,0,BOS,AL,SP,16,0
433584,Fausto Carmona,161,8,11,177,98,90,18,71,98,0,CLE,AL,SP,24,0
453385,Clayton Richard,160,8,10,166,87,80,16,60,104,0,SDN,NL,SP,26,12
132220,Jarrod Washburn,158,9,9,161,87,80,21,51,90,0,,,SP,28,0
453178,Ian Kennedy,158,8,9,159,91,83,16,73,133,0,ARI,NL,SP,0,1
430636,Ian Snell,157,8,9,160,85,77,16,74,116,0,SEA,AL,SP,27,0
460284,Dallas Braden,156,8,9,163,82,75,16,51,99,0,OAK,AL,SP,22,0
432934,Chris Young,155,8,9,129,76,70,19,71,128,0,SDN,NL,SP,14,0
282656,Ben Sheets,155,9,9,155,73,67,16,39,105,0,OAK,AL,SP,0,0
150404,Ted Lilly,155,10,8,146,73,68,21,42,132,0,CHN,NL,SP,27,0
408206,Brett Myers,153,7,11,159,87,80,26,52,132,0,HOU,NL,SP,10,8
502032,Bud Norris,153,8,10,155,85,78,18,75,139,0,HOU,NL,SP,10,1
450351,C.J. Wilson,152,10,6,138,71,64,13,70,149,0,TEX,AL,RP,0,74
433585,Jeff Francis,151,8,8,172,85,76,17,47,105,0,COL,NL,SP,0,0
434671,Anibal Sanchez,151,8,9,157,85,79,17,75,123,0,FLO,NL,SP,16,0
434538,Francisco Liriano,151,9,9,154,86,78,19,61,131,0,MIN,AL,SP,24,5
458690,Chris Volstad,150,7,9,164,88,81,19,60,100,0,FLO,NL,SP,29,0
219194,Gil Meche,149,8,10,159,83,75,16,57,113,0,KCA,AL,SP,23,0
425848,Rich Harden,149,10,7,129,69,64,19,65,164,0,TEX,AL,SP,26,0
461833,Phil Hughes,148,11,7,138,71,66,16,52,139,0,NYA,AL,SP,7,44
429720,John Maine,145,9,8,131,75,69,17,65,120,0,NYN,NL,SP,15,0
519240,Marc Rzepczynski,145,8,10,145,80,73,11,81,128,0,TOR,AL,SP,11,0
461829,Gio Gonzalez,145,7,10,146,90,82,21,80,133,0,OAK,AL,SP,17,3
150414,Jake Westbrook,145,7,8,157,76,72,16,51,86,0,CLE,AL,SP,0,0
489334,Craig Stammen,143,6,10,165,91,83,20,50,76,0,WAS,NL,SP,19,0
457448,Matt Harrison,143,7,9,172,95,85,19,56,74,0,TEX,AL,SP,11,0
477003,Jonathon Niese,143,8,9,150,78,71,14,55,106,0,NYN,NL,SP,5,0
424144,Oliver Perez,140,7,9,132,83,77,20,83,130,0,NYN,NL,SP,14,0
493137,Daisuke Matsuzaka,140,9,7,142,78,71,17,65,124,0,BOS,AL,SP,12,0
453344,Brandon Morrow,139,8,7,124,73,68,16,80,129,0,TOR,AL,RP,10,16
425487,Todd Wellemeyer,135,6,9,151,84,77,20,56,91,0,SFN,NL,SP,21,7
462956,Felipe Paulino,135,5,11,152,88,80,21,65,115,0,HOU,NL,SP,17,6
425827,Jeremy Bonderman,135,7,8,151,82,75,19,50,92,0,DET,AL,SP,1,7
501957,Chris Tillman,134,6,9,152,83,76,22,51,94,0,BAL,AL,SP,12,0
407113,Justin Duchscherer,134,9,7,124,61,55,14,38,91,0,OAK,AL,SP,0,0
115817,Livan Hernandez,134,6,9,162,85,77,17,46,65,0,WAS,NL,SP,31,0
448802,Jaime Garcia,131,7,8,131,73,68,17,62,104,0,SLN,NL,SP,0,0
502009,Mat Latos,129,7,8,115,64,58,15,51,100,0,SDN,NL,SP,10,0
445216,Daniel McCutchen,126,6,9,141,76,69,20,35,82,0,PIT,NL,SP,6,0
502239,Trevor Cahill,126,6,9,129,72,68,16,57,72,0,OAK,AL,SP,32,0
425630,Brandon Webb,126,8,6,125,56,51,9,39,99,0,ARI,NL,SP,1,0
453307,David Huff,126,7,9,144,80,73,18,44,77,0,CLE,AL,SP,22,0
450306,Jason Vargas,125,6,8,133,72,67,19,42,79,0,SEA,AL,SP,14,9
150119,Freddy Garcia,122,6,8,134,72,66,17,39,81,0,CHA,AL,SP,9,0
488984,Tommy Hunter,121,6,7,140,77,70,18,38,66,0,TEX,AL,SP,19,0
452676,Mitch Talbot,118,6,9,139,76,68,13,45,70,0,TBA,AL,SP,0,0
123801,Tim Wakefield,115,7,7,120,65,61,14,42,67,0,BOS,AL,SP,21,0
452733,Tom Gorzelanny,115,6,7,116,63,58,13,48,92,0,CHN,NL,SP,7,15
448159,Manny Parra,113,6,7,124,69,62,12,56,94,0,MIL,NL,SP,27,0
425146,Nate Robertson,113,5,7,131,72,65,14,46,75,0,FLO,NL,SP,6,22
452241,Garrett Mock,112,5,8,121,65,58,12,46,90,0,WAS,NL,SP,15,13
425226,Brian Tallet,111,5,6,106,57,53,11,50,90,0,TOR,AL,RP,25,12
119469,Jamie Moyer,110,6,7,122,65,60,17,34,66,0,PHI,NL,SP,25,5
452718,Kyle Kendrick,109,6,7,125,64,59,13,34,48,0,PHI,NL,SP,2,7
444836,Aaron Laffey,108,6,7,123,63,57,10,44,55,0,CLE,AL,SP,19,6
434678,Kyle Davies,108,5,8,119,66,61,14,50,72,0,KCA,AL,SP,22,0
429780,Chris Narveson,107,6,6,104,59,54,14,47,65,0,MIL,NL,RP,4,17
119215,Brian Moehler,106,4,8,126,66,60,14,33,59,0,HOU,NL,SP,29,0
434565,Robinson Tejeda,105,6,6,88,55,51,9,63,106,0,KCA,AL,RP,6,29
445156,Sean Marshall,102,6,5,101,51,47,11,37,82,0,CHN,NL,RP,9,46
456696,David Hernandez,102,4,8,117,73,67,20,51,79,0,BAL,AL,SP,19,1
407853,Erik Bedard,99,6,4,81,39,37,10,38,102,0,SEA,AL,SP,15,0
544931,Stephen Strasburg,99,7,7,105,51,47,11,34,95,0,WAS,NL,SP,0,0
400067,Carlos Silva,98,5,7,118,62,57,13,24,49,0,CHN,NL,SP,6,2
446399,Brett Cecil,94,4,7,105,59,54,12,41,68,0,TOR,AL,SP,17,1
454535,Clay Hensley,94,4,6,102,58,53,11,48,64,0,FLO,NL,SP,0,0
501955,Joba Chamberlain,93,6,4,87,45,41,10,40,90,0,NYA,AL,SP,31,1
434438,Billy Buckner,91,5,6,102,55,50,11,37,66,0,ARI,NL,SP,13,3
450665,Kris Medlen,90,6,5,84,42,38,8,35,90,0,ATL,NL,RP,4,33
502706,Derek Holland,89,5,5,99,56,51,13,34,66,0,TEX,AL,SP,21,12
475243,Travis Wood,89,4,6,90,53,49,12,47,62,0,CIN,NL,SP,0,0
122987,Jeff Suppan,88,4,6,103,56,51,12,36,45,0,MIL,NL,SP,30,0
453281,Wade LeBlanc,87,4,6,84,47,43,13,32,67,0,SDN,NL,SP,9,0
431162,Tim Stauffer,85,4,6,86,45,42,10,32,57,0,SDN,NL,SP,14,0
458567,Andy Sonnanstine,84,4,6,96,52,47,12,21,51,0,TBA,AL,SP,18,4
407845,Fernando Rodney,84,5,4,78,44,42,8,47,77,13,LAA,AL,RP,0,73
449072,Kyle McClellan,84,5,5,78,38,35,7,34,64,0,SLN,NL,RP,0,66
425883,Dontrelle Willis,84,3,6,97,61,56,11,51,48,0,DET,AL,SP,7,0
450729,Doug Fister,82,3,6,96,52,47,13,23,46,0,SEA,AL,SP,10,1
461212,Matt Palmer,82,4,5,88,50,47,10,40,50,0,LAA,AL,SP,13,27
445968,Dana Eveland,82,4,6,95,54,49,9,40,53,0,TOR,AL,SP,9,4
469686,Alfredo Aceves,81,5,4,82,43,40,11,22,59,0,NYA,AL,RP,1,42
435179,Scott Olsen,81,3,6,91,51,47,13,31,52,0,WAS,NL,SP,11,0
150153,Nelson Figueroa,81,4,5,86,45,41,10,28,60,0,NYN,NL,SP,10,6
276912,Scot Shields,80,6,4,73,39,36,8,39,72,0,LAA,AL,RP,0,20
462995,Rick VandenHurk,80,4,4,81,47,43,12,36,74,0,FLO,NL,SP,11,0
444382,Eddie Bonine,80,3,5,98,53,48,12,20,33,0,DET,AL,SP,4,6
547973,Aroldis Chapman,80,6,5,73,40,37,7,48,74,0,CIN,NL,SP,0,0
491703,Neftali Feliz,80,5,4,75,40,37,7,39,68,0,TEX,AL,SP,0,20
407825,Matt Guerrier,79,5,4,75,39,36,10,25,55,14,MIN,AL,RP,0,79
518875,Shawn Kelley,79,5,4,76,40,37,11,26,63,0,SEA,AL,RP,0,41
446624,Charlie Haeger,79,4,5,79,46,42,10,39,52,0,LAN,NL,SP,3,3
461791,Carlos Marmol,78,5,3,52,31,29,6,49,97,23,CHN,NL,RP,0,79
424805,Mark Hendrickson,78,3,5,90,48,44,11,25,46,0,BAL,AL,SP,11,42
452249,Micah Owings,78,3,6,80,47,44,11,35,52,0,CIN,NL,SP,19,7
408230,Pedro Feliciano,78,5,4,70,36,33,8,31,74,0,NYN,NL,RP,0,88
451595,Sean Gallagher,77,4,5,75,40,36,7,35,63,0,SDN,NL,SP,2,12
493247,Peter Moylan,77,6,3,68,32,28,4,34,61,0,ATL,NL,RP,0,87
448200,Chris Sampson,77,4,4,84,40,37,7,22,43,0,HOU,NL,RP,0,49
407819,Matt Thornton,77,6,4,66,32,29,7,26,83,4,CHA,AL,RP,0,70
425492,Ryan Madson,77,5,3,73,33,30,7,24,68,1,PHI,NL,RP,0,79
150035,Kyle Farnsworth,76,3,4,81,41,37,10,30,70,0,KCA,AL,RP,0,41
453954,Kevin Hart,76,3,5,80,45,40,10,34,59,0,PIT,NL,RP,14,4
448178,Kevin Jepsen,76,5,4,82,47,42,7,44,60,0,LAA,AL,RP,0,54
430588,Fernando Nieve,76,4,5,78,43,40,10,34,59,0,NYN,NL,RP,7,1
400010,Jon Rauch,76,5,4,77,37,35,9,22,55,14,MIN,AL,RP,0,75
453192,Andrew Miller,76,3,5,82,49,44,9,42,60,0,FLO,NL,SP,14,6
282567,Claudio Vargas,75,4,4,73,38,35,10,26,58,0,MIL,NL,RP,0,36
434298,Todd Coffey,75,5,3,75,36,33,9,24,60,0,MIL,NL,RP,0,78
488674,Burke Badenhop,75,5,4,79,39,35,6,28,52,0,FLO,NL,RP,2,33
455009,Jonathan Broxton,75,7,2,52,22,21,4,27,101,31,LAN,NL,RP,0,73
121250,Mariano Rivera,75,6,2,59,25,23,7,15,76,39,NYA,AL,RP,0,66
434181,Brandon League,75,4,3,71,34,31,6,27,60,0,SEA,AL,RP,0,67
450275,Mark Lowe,75,4,4,71,37,32,7,30,62,0,SEA,AL,RP,0,75
506606,Hideki Okajima,75,5,3,68,33,31,8,26,66,0,BOS,AL,RP,0,68
471911,Carlos Carrasco,75,4,5,85,52,47,12,34,54,0,CLE,AL,SP,5,0
425426,Chien-Ming Wang,75,4,5,79,41,37,6,28,44,0,WAS,NL,SP,9,3
235095,Dan Wheeler,74,5,4,64,37,34,12,21,61,0,TBA,AL,RP,0,69
434665,Nick Masset,74,4,3,69,33,30,7,27,60,0,CIN,NL,RP,0,74
434641,Juan Gutierrez,74,4,4,77,41,37,7,32,58,4,ARI,NL,RP,0,65
430589,Chad Qualls,74,5,4,73,32,30,7,18,65,29,ARI,NL,RP,0,51
446899,Brad Ziegler,74,5,3,73,30,28,3,26,46,1,OAK,AL,RP,0,69
451216,Brian Wilson,74,5,3,64,30,28,5,31,76,32,SFN,NL,RP,0,68
488846,Brian Duensing,73,4,4,85,44,40,9,23,38,0,MIN,AL,SP,9,15
462985,Franklin Morales,73,3,5,77,47,43,9,45,54,0,COL,NL,SP,2,38
434663,Leo Nunez,73,5,4,68,37,34,10,27,60,20,FLO,NL,RP,0,75
502381,Luke Gregerson,73,4,3,59,28,26,5,31,76,0,SDN,NL,RP,0,72
430941,George Sherrill,73,5,3,56,27,25,6,31,78,1,LAN,NL,RP,0,72
502188,Jeff Samardzija,73,3,5,81,48,44,12,34,48,0,CHN,NL,RP,2,18
453268,Daniel Bard,73,4,3,62,36,33,7,38,83,0,BOS,AL,RP,0,49
408072,Jason Bulger,73,5,3,59,32,30,6,35,80,0,LAA,AL,RP,0,64
407878,Jose Valverde,73,5,3,63,32,30,8,28,69,29,DET,AL,RP,0,52
449097,Jonathan Papelbon,73,6,2,58,24,22,6,20,81,35,BOS,AL,RP,0,66
543634,Ryan Perry,73,3,3,69,39,36,8,40,66,0,DET,AL,RP,0,53
457435,Phil Coke,73,4,4,73,40,38,8,29,56,0,DET,AL,RP,0,72
346793,Jeremy Affeldt,73,4,3,64,31,28,5,32,65,0,SFN,NL,RP,0,74
115629,LaTroy Hawkins,73,5,3,69,30,28,7,24,52,1,MIL,NL,RP,0,65
543339,Daniel Hudson,73,4,5,74,40,36,8,29,58,0,CHA,AL,SP,2,4
461325,Tyler Clippard,72,4,4,63,36,34,10,37,69,0,WAS,NL,RP,0,41
408061,Francisco Rodriguez,72,5,2,53,27,25,6,36,83,32,NYN,NL,RP,0,70
425514,Heath Bell,72,6,3,54,24,22,5,25,74,34,SDN,NL,RP,0,68
429783,Rafael Betancourt,72,5,3,63,30,28,7,22,73,0,COL,NL,RP,0,61
239795,Chad Durbin,72,4,3,67,37,34,8,35,57,0,PHI,NL,RP,0,59
470462,Ramon Troncoso,72,4,4,71,34,30,5,29,50,0,LAN,NL,RP,0,73
119984,Darren Oliver,72,5,3,65,30,28,6,23,57,0,TEX,AL,RP,1,62
457425,Evan Meek,72,3,3,69,38,35,5,42,59,0,PIT,NL,RP,0,41
457732,Andrew Bailey,72,4,4,61,34,32,8,32,68,25,OAK,AL,RP,0,68
275933,Scott Downs,72,4,2,65,29,27,5,26,62,9,TOR,AL,RP,0,48
150188,Francisco Cordero,72,5,3,60,27,24,5,32,70,33,CIN,NL,RP,0,68
462382,Jim Johnson,72,5,4,73,38,35,7,26,46,3,BAL,AL,RP,0,64
430630,Jason Frasor,72,5,4,60,32,29,6,29,68,15,TOR,AL,RP,0,61
502085,David Robertson,72,6,3,60,32,29,5,37,84,0,NYA,AL,RP,0,45
430884,Jesse Crain,71,5,5,69,36,34,7,31,57,0,MIN,AL,RP,0,56
346848,John Grabow,71,3,4,64,35,32,8,35,59,0,CHN,NL,RP,0,75
211041,Ryan Franklin,71,5,4,67,30,29,6,24,47,30,SLN,NL,RP,0,62
425647,D.J. Carrasco,71,4,3,72,33,30,5,24,50,0,PIT,NL,RP,1,48
430663,Brian Bruney,71,3,5,63,35,33,6,40,64,0,WAS,NL,RP,0,44
430962,Dustin Nippert,71,4,4,75,42,39,9,31,52,0,TEX,AL,RP,10,10
430594,Renyel Pinto,71,4,3,62,35,32,7,44,65,0,FLO,NL,RP,0,73
346797,Grant Balfour,70,5,4,56,31,29,6,35,77,0,TBA,AL,RP,0,73
407911,Frank Francisco,70,4,2,60,30,28,7,29,75,27,TEX,AL,RP,0,51
425747,Jose Contreras,70,5,4,70,36,33,7,26,53,0,PHI,NL,SP,23,5
408310,Aaron Heilman,70,4,4,69,38,35,8,32,62,0,CHN,NL,RP,0,70
430911,David Aardsma,70,4,3,58,30,29,7,35,72,30,SEA,AL,RP,0,73
435400,Jason Motte,70,4,4,64,34,31,9,29,73,0,SLN,NL,RP,0,69
460370,Rafael Perez,70,4,4,71,36,33,6,25,59,0,CLE,AL,RP,0,54
465657,Joakim Soria,70,5,2,55,25,22,6,21,78,32,KCA,AL,RP,0,47
408057,Bobby Jenks,69,4,3,63,31,28,7,21,55,29,CHA,AL,RP,0,52
448165,Matt Capps,69,4,4,70,33,30,9,17,55,27,WAS,NL,RP,0,57
453198,Chris Perez,69,4,3,56,34,31,9,35,75,2,CLE,AL,RP,0,61
430638,Roman Colon,68,3,5,78,42,39,9,27,38,0,KCA,AL,RP,0,43
467726,Jose Mijares,68,4,3,63,34,32,9,29,57,0,MIN,AL,RP,0,71
276056,Danys Baez,68,5,4,64,35,33,8,26,45,0,PHI,NL,RP,0,59
503285,Darren O'Day,68,4,3,63,30,28,6,24,54,0,TEX,AL,RP,0,68
434159,Dan Meyer,68,3,3,65,36,34,8,32,59,0,FLO,NL,RP,0,71
430963,Tony Pena,68,4,4,73,37,33,8,22,46,0,SFN,NL,RP,0,72
433578,Lance Cormier,68,3,3,71,35,32,6,26,37,0,TBA,AL,RP,0,53
123790,Billy Wagner,68,5,2,51,24,22,5,23,82,25,ATL,NL,RP,0,17
501826,Clay Zavada,68,4,3,62,34,30,8,31,68,0,ARI,NL,RP,0,49
429901,Sergio Mitre,68,4,4,81,41,37,8,18,40,0,NYA,AL,SP,9,3
430661,Dustin McGowan,67,4,4,65,34,32,6,26,54,0,TOR,AL,SP,0,0
453646,Carlos Villanueva,67,4,4,65,34,32,9,24,59,0,MIL,NL,RP,6,58
457935,Matt Daley,67,4,3,64,34,31,8,26,63,0,COL,NL,RP,0,57
133982,Bob Howry,67,4,4,69,35,32,8,21,52,0,ARI,NL,RP,0,63
407297,Juan Cruz,67,3,4,61,35,32,7,36,64,0,KCA,AL,RP,0,46
430634,Sean Burnett,66,3,3,60,34,32,7,34,48,0,WAS,NL,RP,0,71
460072,Jason Berken,66,3,5,85,49,44,10,26,37,0,BAL,AL,SP,24,0
444520,Craig Breslow,66,5,4,57,31,29,7,27,51,0,OAK,AL,RP,0,77
279571,Matt Belisle,66,4,3,75,37,33,7,17,44,0,COL,NL,RP,0,24
454537,Jared Burton,66,3,3,62,30,28,6,27,55,0,CIN,NL,RP,0,53
489265,Sergio Romo,66,5,3,56,28,25,6,22,67,0,SFN,NL,RP,0,45
400089,Rafael Soriano,65,4,2,50,26,24,7,23,71,30,TBA,AL,RP,0,77
276514,Kevin Gregg,65,4,4,59,33,31,8,30,58,15,TOR,AL,RP,0,72
447714,Eric O'Flaherty,65,3,3,63,31,29,4,25,48,0,ATL,NL,RP,0,78
538227,Hisanori Takahashi,65,3,4,67,35,32,9,17,53,0,NYN,NL,RP,0,0
493416,Takashi Saito,64,6,2,51,22,21,6,25,67,8,ATL,NL,RP,0,56
446321,Ross Detwiler,64,3,5,72,39,36,6,32,44,0,WAS,NL,SP,14,1
430606,Mike Adams,64,4,2,49,23,22,6,22,65,0,SDN,NL,RP,0,37
445590,Eric Stults,64,4,4,67,35,32,7,25,44,0,,,SP,10,0
150118,Brian Fuentes,64,4,3,58,29,27,6,25,58,23,LAA,AL,RP,0,65
502130,Dan Runzler,64,3,4,59,36,34,6,43,64,0,SFN,NL,RP,0,11
493157,Koji Uehara,64,4,4,68,33,30,8,14,47,0,BAL,AL,RP,12,0
430083,Brian Sanches,64,4,3,61,31,29,8,26,61,0,FLO,NL,RP,0,47
465629,Edward Mujica,64,3,3,62,31,29,9,16,52,0,SDN,NL,RP,4,63
450282,Glen Perkins,63,3,4,75,41,37,10,20,32,0,MIN,AL,SP,17,1
407816,J.J. Putz,63,4,3,57,30,28,6,29,57,0,CHA,AL,RP,0,29
407193,Brandon Lyon,63,5,3,58,26,25,6,21,48,15,HOU,NL,RP,0,65
502609,Daniel Ray Herrera,63,4,4,62,32,29,6,24,49,0,CIN,NL,RP,0,70
400058,Brad Lidge,63,3,3,59,34,30,8,32,71,27,PHI,NL,RP,0,67
425861,Shawn Camp,63,3,3,62,31,29,6,22,48,0,TOR,AL,RP,0,59
