mlbamID,PA,Name
493364,495,Dayan Viciedo
435063,524,Mike Napoli
448605,503,Justin Ruggiano
543063,500,Brandon Crawford
461858,499,Trevor Plouffe
434604,495,Mike Morse
400284,525,Chase Utley
400083,510,Andres Torres
461815,504,David Murphy
518991,502,Darin Mastroianni
456715,493,Lorenzo Cain
488671,517,Alex Avila
407885,492,Mark Ellis
518625,485,Matt Dominguez
465784,493,Everth Cabrera
400121,488,Victor Martinez
430404,501,Jonny Gomes
460576,479,Carlos Gomez
425491,478,Ryan Doumit
135784,477,Placido Polanco
433898,476,Jeff Keppinger
425796,473,Jeff Francoeur
464433,460,Juan Francisco
279577,479,Rafael Furcal
453895,480,Brendan Ryan
476633,475,Chris Parmelee
543590,469,Kirk Nieuwenhuis
425549,468,Clint Barmes
429711,468,Franklin Gutierrez
477165,466,Brett Wallace
452252,466,Adam Lind
425766,466,James Loney
450317,461,J. P. Arencibia
502082,461,Lonnie Chisenhall
452220,471,Stephen Drew
150289,498,Carlos Pena
425903,488,Kevin Youkilis
430948,462,Alberto Callaspo
425496,460,Cody Ross
485567,457,Ezequiel Carrera
523253,471,Logan Forsythe
459431,460,Michael Saunders
400140,456,Wilson Betemit
518960,452,Jonathan Lucroy
435263,458,Brian McCann
519048,449,Mitch Moreland
150229,437,A.J. Pierzynski
521692,424,Salvador Perez
435041,456,Carlos Quentin
408307,424,Carl Crawford
457574,423,Jordan Pacheco
494686,419,Fernando Martinez
453923,439,Gregor Blanco
431145,436,Russell Martin
452239,431,Justin Maxwell
502003,431,Scott Sizemore
461416,426,Will Venable
460051,413,Chris Getz
501647,395,Wilin Rosario
458501,388,Luis Cruz
434563,418,Carlos Ruiz
444379,418,John Jaso
434567,409,Geovany Soto
518614,405,Daniel Descalso
516416,387,Jean Segura
455759,404,Chris Young
400098,403,Travis Hafner
434661,401,Nate McLouth
465753,382,Pedro Florimon
467092,380,Wilson Ramos
204020,409,Lance Berkman
424726,396,Jason Bay
425206,388,Jamey Carroll
446481,386,Sean Rodriguez
489365,379,Josh Thole
588751,363,Adeiny Hechavarria
115732,391,Todd Helton
488771,373,Jason Castro
489267,365,Adam Rosales
457454,364,Jarrod Saltalamacchia
455126,351,Chris Nelson
456781,350,Donovan Solano
452095,370,Tyler Flowers
440251,361,Ryan Roberts
543108,347,Andy Dirks
454560,374,A.J. Ellis
455104,370,Chris Iannetta
452234,356,Seth Smith
542963,338,Robert Brantly
474892,352,Chris Carter
421064,346,Ty Wigginton
461235,345,Brandon Moss
460026,339,Nick Hundley
519083,348,Derek Norris
456655,338,Ian Stewart
407861,338,Orlando Hudson
467827,331,Gerardo Parra
456078,330,Welington Castillo
446386,327,Brandon Guyer
121409,329,Scott Rolen
430895,327,Maicer Izturis
435180,325,Robert Andino
452672,335,Ryan Hanigan
488689,326,Mike Baxter
429713,323,Grady Sizemore
450641,314,Quintin Berry
406878,314,Brian Roberts
571976,313,Wil Myers
150040,309,Jose Molina
547982,308,Leonys Martin
444135,308,Ryan Theriot
502100,304,Alex Presley
472528,307,Luis Valbuena
116380,305,Raul Ibanez
578428,296,Jose Iglesias
408210,309,Chone Figgins
432928,303,Luke Scott
150020,301,Jerry Hairston
502226,300,Craig Gentry
458210,299,Alexi Casilla
434658,293,Rajai Davis
502125,290,Tyler Colvin
400018,282,Miguel Olivo
116662,301,Andruw Jones
592609,295,Michael Olt
460099,294,Nolan Reimold
468406,291,Jonathan Herrera
467070,289,Elian Herrera
595777,289,Jurickson Profar
519023,288,Devin Mesoraco
455117,287,Martin Maldonado
