mlbamID,playerName,team,league,defaultPos,G_SP,G_RP,IP,W,L,S,H,R,ER,HR,K,BB,HBP
121386,Kenny Rogers,,,,0,0,60,3,4,0,67,35,33,7,37,24,3
121556,Glendon Rusch,,,,0,0,32,2,2,0,36,18,16,4,25,11,1
121834,Jason Schmidt,,,,0,0,62,4,4,0,61,32,29,6,47,25,3
121955,Rudy Seanez,,,,0,0,25,2,2,0,25,13,11,2,19,10,1
122195,Brian Shouse,,,,0,0,28,2,1,0,28,14,13,3,19,9,1
122477,John Smoltz,,,,0,0,67,3,5,0,73,37,35,8,58,22,2
122620,Russ Springer,CIN,NL,RP,0,2,32,1,2,0,33,15,14,4,27,11,1
122915,Tanyon Sturtze,,,,0,0,25,1,1,0,25,13,11,3,20,10,1
122987,Jeff Suppan,SFN,NL,SP,2,13,118,5,8,0,140,70,63,16,68,47,5
123118,Julian Tavarez,,,,0,0,29,2,3,0,30,17,14,3,24,13,1
123348,Mike Timlin,,,,0,0,25,1,2,0,27,14,13,3,18,10,1
123387,Brett Tomko,,,,0,0,43,2,3,0,43,22,21,6,29,13,1
123415,Salomon Torres,,,,0,0,25,2,1,3,25,12,11,2,19,10,1
123431,Steve Trachsel,,,,0,0,53,3,4,0,56,31,28,7,37,22,2
123725,Ron Villone,,,,0,0,30,2,2,0,31,15,14,3,24,14,1
123790,Billy Wagner,ATL,NL,RP,0,71,61,4,3,20,48,23,19,6,69,22,2
123801,Tim Wakefield,BOS,AL,SP,19,13,135,7,8,0,143,77,72,16,82,45,7
123828,Jamie Walker,,,,0,0,26,1,1,0,29,15,13,4,19,9,1
124000,Dave Weathers,,,,0,0,31,2,2,0,31,15,14,4,23,13,1
124604,Jamey Wright,,,,0,28,62,3,4,0,61,35,30,5,41,27,4
124805,B.J. Ryan,,,,0,0,27,1,2,4,26,14,13,3,21,12,1
131702,Braden Looper,,,,0,0,79,5,4,0,87,44,40,12,49,25,3
132220,Jarrod Washburn,,,,0,0,77,4,5,0,75,36,34,9,48,24,3
132241,Bryan Corey,,,,0,0,25,1,1,0,26,13,12,3,19,9,1
132260,Sidney Ponson,,,,0,0,59,3,4,0,67,36,33,6,36,22,2
132980,Eric Milton,,,,0,0,62,4,3,0,65,31,28,6,51,22,3
133221,Justin Speier,,,,0,0,29,2,2,0,30,15,14,4,23,11,2
133225,Ryan Dempster,CHN,NL,SP,34,0,188,12,9,0,177,89,77,20,170,69,7
133460,Russ Ortiz,LAN,NL,RP,0,6,51,2,3,0,55,30,28,5,41,23,2
133982,Bobby Howry,,,RP,0,24,49,2,4,0,52,29,26,6,35,17,1
134003,Scott Elarton,,,,0,0,25,1,1,0,25,13,12,3,19,9,1
134268,Kerry Wood,CLE,AL,RP,0,24,53,3,3,12,48,24,23,5,50,24,3
134320,Javier Vazquez,FLO,NL,SP,26,5,158,10,9,0,151,78,75,22,138,50,5
134321,Carl Pavano,MIN,AL,SP,32,0,190,13,11,0,204,94,90,22,118,41,6
136263,Tim Byrdak,NYN,NL,RP,0,64,50,2,2,0,46,22,21,6,42,23,2
136268,Chad Bradford,,,,0,0,26,2,1,0,28,12,11,3,17,9,1
136304,Valerio de los Santos,,,,0,0,60,3,4,0,60,30,28,6,49,25,2
136600,Bruce Chen,KCA,AL,SP,23,10,124,8,7,1,126,65,61,16,88,49,4
136602,Odalis Perez,,,,0,0,60,3,4,0,63,30,27,7,48,22,2
136727,Vladimir Nunez,ATL,NL,RP,0,0,25,1,1,0,25,13,12,3,20,10,1
136734,Octavio Dotel,TOR,AL,RP,0,19,63,3,4,8,57,30,27,8,67,29,2
136880,Roy Halladay,PHI,NL,SP,33,0,209,15,9,0,196,71,64,19,183,36,6
150009,Ramon Ortiz,NYN,NL,SP,2,14,44,2,3,0,46,25,23,5,34,19,1
150011,Scott Schoeneweis,,,,0,15,34,2,2,0,37,20,18,5,24,15,1
150035,Kyle Farnsworth,TBA,AL,RP,0,23,61,3,4,0,60,29,26,6,57,21,3
150037,Ray King,,,,0,0,25,1,1,0,25,13,12,3,20,10,1
150116,Randy Wolf,MIL,NL,SP,34,0,189,11,10,0,181,88,82,22,139,67,7
150118,Brian Fuentes,OAK,AL,RP,0,9,55,3,3,24,48,24,22,6,47,21,3
150119,Freddy Garcia,,,,28,0,144,9,7,0,152,76,72,18,91,44,3
150122,Damaso Marte,NYA,AL,RP,0,30,35,2,2,1,33,18,18,4,28,14,1
150128,Dennis Stark,,,,0,0,26,1,2,0,27,14,13,3,19,11,1
150144,Bobby Seay,,,,0,0,30,2,2,0,30,15,14,3,24,11,1
150153,Nelson Figueroa,HOU,NL,RP,10,8,93,6,6,0,94,44,40,10,75,35,5
150185,Dave Borkowski,,,,0,0,25,1,1,0,26,13,12,3,20,9,1
150188,Francisco Cordero,CIN,NL,RP,0,75,68,4,5,28,65,30,27,5,58,30,2
150221,Mike Lincoln,,,RP,0,19,37,2,2,0,39,22,20,5,27,16,2
150230,Mark Redman,,,,0,0,57,3,4,0,60,31,29,6,43,21,2
150249,Kris Benson,ARI,NL,SP,3,0,52,3,3,0,57,30,28,7,39,21,3
150274,Joe Nathan,MIN,AL,RP,0,0,32,1,1,12,27,12,11,3,30,11,1
150277,Doug Davis,,,SP,8,0,99,4,7,0,107,55,50,11,77,45,3
150284,Brandon Knight,,,,0,0,43,2,2,0,43,21,20,4,34,16,2
150295,Micah Bowie,,,,0,0,25,1,1,0,25,13,12,3,20,9,1
150302,Jason Marquis,WAS,NL,SP,13,0,111,7,8,0,117,60,55,10,68,42,5
150319,Josh Fogg,PHI,NL,RP,0,0,38,1,2,0,37,21,19,5,27,14,2
150337,Kip Wells,,,,0,0,38,2,2,0,36,21,20,4,29,18,2
150359,A.J. Burnett,NYA,AL,SP,33,0,174,10,11,0,175,93,86,20,148,72,11
150378,Eric Gagne,,,,0,0,25,1,1,1,25,13,12,3,20,10,1
150382,Matt Herges,,,,0,0,28,2,2,0,30,14,13,3,22,10,1
150393,Tony Armas,,,,0,0,37,2,2,0,37,18,17,4,30,13,1
150404,Ted Lilly,LAN,NL,SP,18,0,175,11,10,0,157,76,70,24,149,45,4
150407,Guillermo Mota,SFN,NL,RP,0,56,59,3,4,0,55,29,26,6,43,23,2
150414,Jake Westbrook,SLN,NL,SP,21,0,161,8,9,0,162,79,74,16,112,56,6
150426,Mark Mulder,,,,0,0,37,2,2,0,37,18,17,4,30,14,1
150430,Luis Vizcaino,,,,0,0,27,1,2,0,26,14,13,3,21,11,1
150438,Rodrigo Lopez,ATL,NL,SP,33,0,162,7,12,0,183,99,87,26,104,51,3
150469,John Bale,,,,0,0,29,1,2,0,30,15,14,3,21,12,1
150474,Gary Glover,,,,0,0,25,1,1,0,26,13,12,3,18,9,1
207267,Brad Penny,DET,AL,SP,9,0,105,6,7,0,112,56,50,11,72,32,4
211041,Ryan Franklin,STL,NL,RP,0,59,64,4,3,20,61,26,24,6,46,20,3
213680,Mike MacDougal,LAN,NL,RP,0,17,40,2,2,5,40,21,19,3,30,20,2
213711,Jeff Weaver,,,RP,0,44,58,4,3,0,61,30,28,6,44,23,2
215197,Matt Ginter,,,,0,0,60,3,4,0,61,30,28,7,44,21,2
216897,Kyle Snyder,,,,0,0,25,1,1,0,25,13,12,3,19,9,1
217096,Barry Zito,SFN,NL,SP,33,1,178,9,13,0,170,89,83,18,138,76,6
218596,Tim Hudson,ATL,NL,SP,34,0,178,12,8,0,162,67,64,16,117,59,6
218894,Vicente Padilla,LAN,NL,SP,16,0,122,8,6,0,119,61,57,15,97,41,7
219194,Gil Meche,KCA,AL,SP,9,11,95,4,6,0,98,52,49,11,72,41,2
219594,Tomokazu Ohka,,,,0,0,44,2,3,0,45,24,23,7,28,14,2
228594,David Riske,BAL,AL,RP,0,23,37,2,2,0,38,20,18,4,28,14,2
232994,Scott Strickland,FLO,NL,RP,0,3,26,1,1,0,27,13,12,3,21,10,1
234194,Buddy Carlyle,NYA,AL,RP,0,0,27,1,1,0,28,15,13,3,22,11,1
235095,Dan Wheeler,BOS,AL,RP,0,64,55,3,4,3,46,24,22,8,44,17,1
237346,Brian Falkenborg,,,,0,0,25,1,2,0,25,12,12,3,20,10,1
239795,Chad Durbin,CLE,AL,RP,0,64,66,3,3,1,62,31,29,7,56,29,4
240694,J.C. Romero,PHI,NL,RP,0,60,45,2,2,1,41,20,19,4,36,24,3
275700,Winston Abreu,,,,0,0,26,1,1,0,26,14,13,3,19,10,1
275933,Scott Downs,LAA,AL,RP,0,67,60,3,4,3,54,24,22,5,47,19,3
276056,Danys Baez,PHI,NL,RP,0,51,56,3,4,0,55,30,27,6,39,22,3
276336,Shawn Chacon,,,,0,0,60,3,3,0,60,31,28,7,46,24,2
276351,Jason Grilli,,,,0,0,30,1,2,0,30,15,14,3,25,13,1
276371,Johan Santana,NYN,NL,SP,29,0,176,11,8,0,162,66,61,17,143,51,3
276514,Kevin Gregg,BAL,AL,RP,0,63,61,4,5,22,56,29,28,7,53,26,2
276520,Bronson Arroyo,CIN,NL,SP,33,0,190,13,10,0,182,90,84,25,122,58,6
276530,Scott Linebrink,ATL,NL,RP,0,52,59,3,4,1,62,31,28,9,50,20,2
276542,Joaquin Benoit,DET,AL,RP,0,63,55,2,3,1,45,22,20,6,52,19,1
276912,Scot Shields,,,RP,1,42,50,2,3,1,49,28,25,6,40,26,2
276913,Derrick Turnbow,,,,0,0,25,1,1,0,25,13,12,3,20,10,1
276914,Cedrick Bowers,OAK,AL,RP,0,14,32,2,2,0,32,17,16,4,26,12,1
277184,Matt Wise,,,,0,0,25,1,1,0,25,13,12,3,20,9,1
277405,Justin Miller,LAN,NL,RP,0,19,43,2,2,0,40,20,19,5,36,17,2
277417,Josh Beckett,BOS,AL,SP,21,0,145,9,6,0,147,76,71,18,130,43,6
279571,Matt Belisle,COL,NL,RP,0,76,75,5,4,0,75,36,32,8,65,19,2
279782,Jon Garland,LAN,NL,SP,33,0,180,11,11,0,181,87,77,19,116,66,6
279824,Mark Buehrle,CHA,AL,SP,33,0,187,11,11,0,202,89,83,18,102,46,3
282332,C.C. Sabathia,NYA,AL,SP,34,0,202,16,7,0,178,80,73,17,170,60,7
282562,Adam Pettyjohn,NYN,NL,SP,0,0,37,2,2,0,37,19,18,4,29,14,1
282567,Claudio Vargas,,,,0,17,40,2,2,0,39,19,18,4,32,15,1
282656,Ben Sheets,OAK,AL,SP,20,0,120,6,7,0,119,58,54,15,88,39,2
283166,Mike Gonzalez,BAL,AL,RP,0,29,45,2,3,4,39,21,18,5,43,18,2
284566,Adam Eaton,,,,0,0,57,3,4,0,63,34,32,7,42,24,2
285079,R.A. Dickey,NYN,NL,SP,26,1,137,7,7,0,138,60,55,13,89,45,4
329092,Randy Choate,FLO,NL,RP,0,85,51,3,3,1,48,25,23,5,40,18,2
332292,John Parrish,,,,0,9,33,2,2,0,33,16,15,4,24,13,1
334492,Joel Pineiro,LAA,AL,SP,23,0,157,10,8,0,164,74,69,14,91,34,4
346793,Jeremy Affeldt,SFN,NL,RP,0,53,56,3,3,1,54,24,22,5,50,23,2
346797,Grant Balfour,OAK,AL,RP,0,57,59,3,3,1,51,25,23,5,55,23,1
346798,Kyle Lohse,STL,NL,SP,18,0,117,6,8,0,134,69,63,12,79,39,3
346799,Juan Rincon,LAN,NL,RP,0,2,30,2,2,0,29,17,16,3,25,13,1
346800,Saul Rivera,ARI,NL,RP,0,4,31,2,2,0,34,18,16,3,23,12,1
346801,Brad Thomas,DET,AL,RP,2,47,61,4,3,0,64,29,28,5,37,24,3
346847,Joe Beimel,PIT,NL,RP,0,71,53,2,3,0,54,23,21,5,36,19,1
346848,John Grabow,CHN,NL,RP,0,28,45,2,2,0,44,23,21,5,36,20,2
346855,Brandon Duckworth,BOS,AL,SP,0,0,60,3,4,0,60,30,28,6,43,23,2
346869,Josh Towers,LAN,NL,SP,0,0,26,1,1,0,26,13,12,3,19,9,1
346871,Aaron Cook,COL,NL,RP,23,0,140,8,7,0,153,72,67,13,79,46,3
349193,Will Ohman,CHA,AL,RP,0,51,47,2,2,0,46,23,20,5,42,21,1
400008,Gary Majewski,HOU,NL,RP,0,2,26,1,1,0,28,15,13,3,21,10,1
400010,Jon Rauch,TOR,AL,RP,0,59,61,4,3,10,61,27,25,6,46,18,2
400058,Brad Lidge,PHI,NL,RP,0,50,54,2,3,21,51,27,25,6,53,25,2
400061,Roy Oswalt,PHI,NL,SP,12,1,183,11,10,0,165,74,70,18,155,49,6
400062,Tim Redding,LAN,NL,SP,0,0,62,3,3,0,63,34,31,8,45,23,2
400067,Carlos Silva,,,SP,21,0,118,7,8,0,132,67,63,13,80,33,6
400076,Shane Loux,TEX,AL,SP,0,0,41,2,2,0,45,22,20,4,25,14,2
400089,Rafael Soriano,NYA,AL,RP,0,64,64,3,3,25,50,24,22,6,60,20,2
400093,Duaner Sanchez,,,,0,0,26,2,1,0,26,13,13,3,20,10,1
400104,Tyler Walker,,,RP,0,24,46,2,2,0,45,22,20,5,38,15,2
400113,Les Walrond,,,,0,0,25,1,1,0,25,13,12,3,21,10,1
400125,Jesus Colome,,,,0,12,36,2,2,0,37,20,19,4,27,15,2
400141,Horacio Ramirez,SFN,NL,RP,0,0,28,1,2,0,29,15,14,3,19,10,1
400291,Dustin Moseley,SDN,NL,SP,9,7,82,5,5,0,86,44,42,12,54,31,3
406301,Chad Paronto,BOS,AL,RP,0,0,26,1,1,0,27,14,13,3,20,9,1
406402,Jorge Julio,PIT,NL,RP,0,0,27,2,1,0,26,14,13,3,23,12,1
406874,Joe Nelson,BOS,AL,RP,0,8,33,2,1,1,33,17,16,4,27,15,1
407113,Justin Duchscherer,BAL,AL,SP,5,0,74,5,4,0,68,32,29,7,52,25,3
407154,Casey Fossum,,,,0,0,25,1,1,0,25,13,12,3,20,10,1
407193,Brandon Lyon,HOU,NL,RP,0,79,72,5,5,11,65,30,28,5,55,27,2
407296,Carlos Zambrano,CHN,NL,SP,20,16,133,9,6,0,123,59,54,10,115,59,6
407297,Juan Cruz,,,,0,5,33,2,2,0,31,17,15,3,27,15,1
407298,Jason Jennings,,,,0,0,33,2,2,0,35,17,16,4,24,14,1
407400,Rick Bauer,,,,0,0,25,1,1,0,25,13,12,3,19,9,1
407779,Francis Beltran,,,,0,0,25,1,1,0,25,13,12,3,19,9,1
407783,Geoff Geary,,,,0,0,27,1,2,0,27,14,13,3,21,11,1
407791,Brendan Donnelly,,,RP,0,38,43,3,2,1,42,23,21,5,35,21,2
407793,John Lackey,BOS,AL,SP,33,0,185,12,9,0,191,91,84,18,138,58,8
407816,J.J. Putz,ARI,NL,RP,0,60,55,4,4,4,51,25,24,5,50,21,2
407819,Matt Thornton,CHA,AL,RP,0,61,63,4,3,4,53,24,23,5,65,21,2
407822,Jorge de la Rosa,COL,NL,SP,20,0,138,10,8,0,127,70,65,15,133,58,6
407825,Matt Guerrier,LAN,NL,RP,0,74,68,4,5,1,61,29,27,8,46,22,3
407840,Brandon Backe,,,,0,0,54,3,3,0,60,32,30,8,44,22,2
407842,Jose Veras,,,RP,0,48,54,3,3,0,47,26,24,6,51,26,3
407845,Fernando Rodney,LAA,AL,RP,0,72,67,3,4,16,65,33,31,6,53,32,3
407853,Erik Bedard,BAL,AL,SP,0,0,68,4,3,0,61,30,27,7,60,26,3
407860,Gustavo Chacin,HOU,NL,RP,0,44,44,2,2,1,48,23,21,4,36,18,1
407872,Jose Diaz,,,,0,0,25,1,1,0,25,13,12,3,19,9,1
407878,Jose Valverde,DET,AL,RP,0,60,62,3,3,21,52,26,24,6,56,25,2
407883,Franklyn German,,,,0,0,25,1,2,0,24,12,11,3,19,9,1
407884,Tyler Yates,,,,0,0,26,1,2,0,26,14,13,3,22,11,1
407890,Colby Lewis,TEX,AL,SP,32,0,161,9,10,0,146,75,69,17,145,54,5
407896,Billy Traber,,,,0,0,25,1,1,0,27,14,13,3,19,9,1
407901,Jorge Sosa,FLO,NL,RP,2,20,47,3,3,1,50,27,24,6,34,20,1
407908,Joel Peralta,TBA,AL,RP,0,39,52,2,2,0,47,24,22,6,45,17,2
407911,Frank Francisco,TOR,AL,RP,0,56,56,4,4,8,52,25,24,6,55,20,1
407924,Manny Acosta,NYN,NL,RP,0,41,49,3,3,1,46,22,20,5,42,20,1
408046,Andrew Brown,STL,NL,RP,0,0,25,1,1,0,24,12,11,3,19,10,1
408052,Chris Bootcheck,,,,0,0,26,1,1,0,27,16,15,3,22,11,1
408057,Bobby Jenks,BOS,AL,RP,0,55,57,3,3,21,55,27,25,6,50,19,2
408061,Francisco Rodriguez,NYN,NL,RP,0,53,60,3,3,25,52,24,22,5,62,25,2
408069,Erick Threets,,,,0,11,31,2,2,0,30,14,13,3,23,11,1
408072,Jason Bulger,LAA,AL,RP,0,25,44,2,2,0,40,21,20,5,38,19,2
408206,Brett Myers,HOU,NL,SP,33,0,176,10,8,0,172,79,72,21,142,56,4
408230,Pedro Feliciano,NYA,AL,RP,0,92,62,4,5,0,62,28,25,5,55,25,3
408241,Jake Peavy,CHA,AL,SP,17,0,124,8,7,0,110,55,53,13,110,41,4
408304,Jon Switzer,,,,0,0,25,1,1,0,25,13,12,3,21,10,1
408310,Aaron Heilman,,,RP,0,70,68,4,5,3,68,35,33,8,58,28,3
420864,Randy Flores,,,RP,0,11,42,2,2,0,44,21,19,6,30,17,1
421104,Lee Gardner,,,,0,0,25,1,1,0,26,13,12,3,20,10,1
421685,Aaron Harang,SDN,NL,SP,20,2,130,6,10,0,148,71,66,18,107,40,4
424144,Oliver Perez,NYN,NL,SP,7,10,80,3,5,0,79,48,44,11,71,48,4
424164,Kirk Saarloos,,,,0,0,29,2,2,0,30,15,14,3,21,10,1
424324,Cliff Lee,PHI,NL,SP,13,0,189,12,9,0,185,74,68,14,152,32,3
424426,Ryan Bukvich,,,,0,0,25,1,1,0,25,13,12,3,19,9,1
424465,Runelvys Hernandez,,,,0,0,60,3,4,0,62,31,29,7,49,23,2
424668,Jon Adkins,,,,0,0,25,1,1,0,25,12,11,3,20,9,1
424805,Mark Hendrickson,BAL,AL,RP,1,51,78,3,5,0,88,45,41,10,52,25,3
424925,Clay Condrey,,,,0,0,29,2,2,0,30,13,12,3,21,10,1
425146,Nate Robertson,SEA,AL,SP,0,2,102,5,7,0,115,66,60,12,72,42,4
425186,Jason Davis,,,,0,0,35,2,2,0,35,18,16,3,27,13,1
425226,Brian Tallet,STL,NL,RP,5,29,90,4,5,0,92,53,50,13,65,38,4
425386,Jeremy Guthrie,BAL,AL,SP,32,0,185,10,13,0,181,89,84,24,111,52,10
425426,Chien-Ming Wang,WAS,NL,SP,0,0,59,3,4,0,63,34,33,6,41,22,2
425466,Willie Eyre,,,,0,0,27,1,1,0,27,13,12,3,19,10,1
425471,Jimmy Gobble,,,,0,0,26,1,1,0,27,15,14,3,20,11,1
425487,Todd Wellemeyer,CHN,NL,SP,11,2,96,6,7,0,102,54,50,13,70,41,3
425492,Ryan Madson,PHI,NL,RP,0,55,59,4,3,4,55,24,22,5,57,18,3
425507,Fernando Cabrera,,,,0,1,26,1,1,0,27,14,13,3,21,11,1
425510,Francisco Cruceta,,,,0,0,25,1,2,0,25,13,12,3,19,10,1
425514,Heath Bell,SDN,NL,RP,0,67,67,5,3,26,59,25,23,4,68,25,2
425528,Seth McClung,,,,0,0,36,2,2,0,35,18,17,4,29,16,1
425530,Brian Stokes,,,,0,16,41,2,2,0,43,22,20,5,30,18,1
425531,Doug Waechter,,,,0,0,26,1,1,0,26,13,12,3,19,9,1
425539,Hong-Chih Kuo,LAN,NL,RP,0,56,58,3,2,5,45,19,18,4,60,20,2
425555,Daniel Cabrera,,,,0,0,58,2,4,0,60,34,30,6,39,28,4
425561,Chris Waters,MIL,NL,RP,0,0,48,3,3,0,47,25,23,6,33,18,2
425562,Vinnie Chulk,,,,0,0,26,1,2,0,26,13,12,3,18,10,1
425606,Kiko Calero,LAN,NL,RP,0,0,31,1,2,0,27,13,12,2,29,13,1
425626,Chris Capuano,NYN,NL,RP,9,15,71,4,4,0,71,34,32,8,58,25,2
425628,Greg Aquino,,,,0,0,27,1,2,0,27,14,13,3,20,12,1
425629,Oscar Villarreal,,,,0,0,25,1,1,0,25,13,11,3,20,9,1
425630,Brandon Webb,TEX,AL,SP,0,0,60,4,3,0,57,28,25,5,50,20,3
425646,Luis Ayala,NYA,AL,RP,0,0,29,1,2,1,31,16,15,3,23,10,1
425647,D.J. Carrasco,NYN,NL,RP,0,18,74,3,2,0,71,35,31,5,58,28,3
425655,John Koronka,LAN,NL,SP,0,0,61,3,4,0,61,33,30,8,49,24,2
425656,Wilfredo Ledezma,TOR,AL,RP,0,27,37,1,2,0,38,21,19,4,33,15,1
425657,Javier Lopez,PIT,NL,RP,0,50,55,3,3,0,54,24,22,4,40,22,2
425658,Aquilino Lopez,,,,0,0,25,1,1,0,26,12,11,3,19,9,1
425747,Jose Contreras,PHI,NL,RP,0,67,75,5,6,1,77,39,35,7,62,27,3
425768,Angel Guzman,,,,0,0,31,2,2,0,28,14,13,3,26,11,1
425786,Scott Atchison,BOS,AL,RP,1,42,56,3,3,0,55,31,27,7,40,19,2
425789,Brian Sweeney,SEA,AL,RP,0,24,43,2,2,0,43,21,19,5,27,13,1
425794,Adam Wainwright,STL,NL,SP,33,0,198,16,9,0,175,68,61,15,178,54,4
425818,Boof Bonser,,,,0,13,42,2,2,0,45,24,23,5,32,14,1
425827,Jeremy Bonderman,,,SP,29,1,141,7,8,0,150,85,79,20,96,53,7
425840,Neal Cotts,,,,0,0,26,1,2,0,26,13,12,3,23,10,1
425844,Zack Greinke,MIL,NL,SP,33,0,193,11,10,0,180,81,72,15,173,50,5
425848,Rich Harden,OAK,AL,SP,18,2,119,7,6,0,107,61,55,17,114,56,6
425856,Gavin Floyd,CHA,AL,SP,31,0,173,10,10,0,167,82,75,17,138,55,5
425860,Bryan Bullington,,,,5,8,59,2,4,0,62,32,31,7,43,22,3
425861,Shawn Camp,TOR,AL,RP,0,70,69,3,4,1,68,30,28,7,48,22,3
425883,Dontrelle Willis,CIN,NL,SP,5,1,93,4,6,0,94,55,52,9,71,60,5
425899,Charlie Manning,,,,0,0,25,1,1,0,24,13,12,3,21,10,1
428420,Mike Gosling,,,,0,0,27,1,1,0,28,14,13,3,20,10,1
429400,Adam Loewen,,,,0,0,45,2,3,0,44,23,22,5,34,18,1
429440,Edgar Gonzalez,TBA,AL,SP,0,0,41,1,2,0,42,22,21,4,29,15,2
429714,Denny Bautista,SFN,NL,RP,0,31,43,3,2,0,41,21,20,4,41,22,2
429717,Danny Haren,LAA,AL,SP,21,0,200,12,10,0,194,87,82,24,176,44,5
429718,Shawn Hill,,,,4,0,72,4,5,0,78,37,34,7,51,23,3
429719,Edwin Jackson,CHA,AL,SP,11,0,186,11,10,0,182,89,84,20,143,66,5
429720,John Maine,COL,NL,SP,9,0,88,5,6,0,84,47,43,10,74,40,3
429721,Royce Ring,,,,0,5,26,1,1,0,27,15,14,3,20,10,1
429722,Ervin Santana,LAA,AL,SP,33,0,185,13,9,0,183,88,82,23,148,58,9
429723,Merkin Valdez,,,,0,2,31,2,1,0,32,17,16,3,23,13,1
429724,John Van Benschoten,,,,0,0,44,2,3,0,46,24,22,5,37,18,2
429780,Chris Narveson,MIL,NL,SP,28,9,135,9,7,0,135,72,68,16,113,48,4
429781,Kevin Correia,PIT,NL,SP,26,2,150,9,9,0,155,81,77,17,115,57,4
429783,Rafael Betancourt,COL,NL,RP,0,72,62,4,3,1,57,28,26,7,65,18,1
429901,Sergio Mitre,NYA,AL,RP,3,24,66,3,4,0,66,36,32,8,44,21,3
