mlbamID,playerName,team,league,defaultPos,W,L,BFP,IP,H,HR,BB,K,HBP,R,ER,Age,G_SP,G_RP
476451,Jeremy Hellickson,TBA,AL,SP,5,7,438,100,109,20,37,72,4,63,58,22,,
476601,Michael Bowden,BOS,AL,,7,6,509,118,122,17,41,83,3,63,58,22,1,0
477003,Jonathon Niese,NYN,NL,,8,8,617,140,143,17,65,107,5,77,71,22,3,0
477132,Clayton Kershaw,LAN,NL,,7,6,502,115,109,12,57,102,3,57,53,21,21,1
488674,Burke Badenhop,FLO,NL,,5,6,433,99,103,11,40,61,5,53,49,26,8,5
488782,Anthony Claggett,NYA,AL,RP,2,3,205,45,48,6,24,32,2,28,26,24,,
488846,Brian Duensing,MIN,AL,SP,6,9,589,133,159,22,42,69,5,85,79,26,,
488984,Tommy Hunter,TEX,AL,,6,7,489,110,130,18,38,58,4,71,66,22,3,0
489189,Josh Outman,OAK,AL,,6,8,599,134,134,17,71,89,5,76,70,24,4,2
489265,Sergio Romo,SFN,NL,,4,3,250,60,52,7,20,61,3,26,24,26,0,29
490063,Matt Garza,TBA,AL,,10,9,715,168,163,18,59,125,6,80,74,25,30,0
491159,Joe Thatcher,SDN,NL,,4,3,285,68,61,5,24,62,2,27,25,27,0,25
491220,Hunter Jones,BOS,AL,RP,3,3,233,53,55,7,21,41,2,29,27,25,,
491703,Neftali Feliz,TEX,AL,SP,2,3,220,47,54,9,29,34,2,35,32,21,,
493131,Masahide Kobayashi,CLE,AL,,3,2,212,49,52,5,15,33,2,25,23,35,0,57
493133,Hiroki Kuroda,LAN,NL,,9,8,667,158,167,16,40,106,6,77,71,34,31,0
493137,Daisuke Matsuzaka,BOS,AL,,11,7,730,169,156,16,75,158,7,79,73,28,29,0
493157,Koji Uehara,BAL,AL,SP,3,2,207,50,50,5,11,43,1,22,20,34,,
493161,Yasuhiko Yabuta,KCA,AL,,3,3,235,53,58,5,22,35,1,29,27,36,0,31
493247,Peter Moylan,ATL,NL,,3,2,214,50,47,4,19,39,3,22,20,30,0,7
493416,Takashi Saito,BOS,AL,,4,2,192,46,40,3,15,45,2,17,16,39,0,45
499107,Francisley Bueno,ATL,NL,,4,5,372,85,93,14,30,53,3,51,47,28,0,1
499856,Chris Jakubauskas,,,,3,4,277,64,67,9,23,41,2,35,32,30,,
499877,Kenshin Kawakami,ATL,NL,SP,8,6,516,123,121,14,32,113,5,57,53,34,,
501874,Kameron Mickolio,BAL,AL,,2,3,203,45,46,6,24,34,2,26,24,25,0,9
501925,Joe Smith,CLE,AL,,3,2,207,47,46,3,23,37,3,23,21,25,0,82
501955,Joba Chamberlain,NYA,AL,,8,3,425,102,86,9,39,112,3,40,37,23,12,30
501957,Chris Tillman,BAL,AL,SP,4,7,467,101,107,18,62,82,4,68,63,21,,
502085,David Robertson,NYA,AL,,4,2,231,54,47,5,26,57,2,24,22,24,0,25
502158,Josh Roenicke,CIN,NL,,3,3,221,50,49,7,24,47,2,27,25,26,0,5
502165,Andrew Carpenter,PHI,NL,,6,7,535,121,127,23,53,75,5,75,69,24,0,1
502188,Jeff Samardzija,CHN,NL,,4,3,278,63,62,6,33,50,2,33,31,24,0,26
502208,P.J. Walters,SLN,NL,SP,6,7,525,119,117,17,57,103,6,66,61,24,,
502239,Trevor Cahill,OAK,AL,SP,4,5,379,84,82,11,51,62,5,49,45,21,,
502381,Luke Gregerson,,,,3,3,250,58,55,7,27,49,2,29,27,25,,
502609,Daniel Herrera,CIN,NL,,3,3,211,49,50,7,17,37,2,26,24,24,0,7
502706,Derek Holland,TEX,AL,SP,3,3,254,57,62,11,26,43,2,37,34,22,,
503285,Darren O'Day,NYN,NL,,3,3,232,54,54,5,19,42,3,26,24,26,0,30
506429,Kazuo Fukumori,TEX,AL,,3,3,214,48,53,5,20,31,2,27,25,32,0,4
506432,Kei Igawa,NYA,AL,,9,8,658,151,162,22,51,105,5,85,79,29,1,1
506606,Hideki Okajima,BOS,AL,,4,2,252,60,55,5,21,55,2,25,23,33,0,64
506648,Yoslan Herrera,PIT,NL,,5,7,474,107,119,14,43,57,4,64,59,28,5,0
518875,Shawn Kelley,,,,1,3,166,36,40,6,19,25,2,24,22,25,,
519144,Rick Porcello,DET,AL,SP,4,5,362,79,90,13,42,34,5,54,50,20,,
519455,Jordan Zimmermann,WAS,NL,SP,3,6,368,82,86,13,41,69,3,50,46,23,,
543634,Ryan Perry,DET,AL,RP,1,2,122,26,30,5,17,14,1,20,19,22,,
,A.J. Ford,,,,1,2,124,26,31,5,17,14,1,20,19,24,,
,A.J. Shappi,,,,3,3,242,56,60,8,18,39,2,31,29,26,,
,A.J. Wideman,,,,3,7,424,89,116,21,47,35,3,75,69,24,,
,Aaron Cook1,,,,1,2,149,32,39,5,17,16,2,23,21,25,,
,Aaron Cotter,,,,2,4,235,52,57,8,25,30,3,33,31,25,,
