mlbamID,PA,playerid,Name
430897,617,4599,Nick Swisher
430910,220,3231,Brayan Pena
430917,348,3912,Mike Fontenot
430945,677,6368,Adam Jones
430946,,,Jose Lopez
430947,609,4082,Erick Aybar
430948,514,3336,Alberto Callaspo
430965,250,,Chris Snyder
431094,572,6104,Aaron Hill
431145,498,4616,Russell Martin
431151,648,3787,David Wright
431159,250,3867,Kelly Shoppach
431171,492,6086,Casey McGehee
432928,492,3469,Luke Scott
433898,375,3856,Jeff Keppinger
434158,685,4747,Curtis Granderson
434540,585,2714,Garrett Jones
434563,519,2579,Carlos Ruiz
434567,525,3707,Geovany Soto
434604,618,3035,Michael Morse
434630,202,3536,Eli Whiteside
434636,606,2918,Angel Pagan
434658,315,3708,Rajai Davis
434661,345,3190,Nate McLouth
434670,639,8001,Hanley Ramirez
434778,450,,Kendrys Morales
435041,607,6274,Carlos Quentin
435062,640,4229,Howie Kendrick
435063,554,3057,Mike Napoli
435079,647,6195,Ian Kinsler
435081,133,7419,Mike Nickeas
435180,490,4900,Robert Andino
435219,380,3692,Jack Hannahan
435220,430,6352,Ryan Sweeney
435263,584,4810,Brian McCann
435358,444,8585,Yuniesky Betancourt
435401,490,3704,Skip Schumaker
435522,676,7539,Neil Walker
435558,477,5928,Daric Barton
435559,572,8259,Kurt Suzuki
435622,644,6885,Ian Desmond
435625,495,6201,Nate Schierholtz
440251,586,5653,Ryan Roberts
443558,542,2434,Nelson Cruz
444135,475,3811,Ryan Theriot
444379,390,5887,John Jaso
444432,515,6876,Mark Trumbo
444843,599,6265,Andre Ethier
444876,566,6310,Alcides Escobar
445055,625,5227,Jon Jay
445933,510,5462,Bryan LaHair
445988,600,3312,Martin Prado
446263,565,2502,Lucas Duda
446308,572,4298,Matt Wieters
446334,675,9368,Evan Longoria
446359,587,2616,Zack Cozart
446381,545,2430,Darwin Barney
446386,322,2636,Brandon Guyer
446481,530,6589,Sean Rodriguez
446653,350,4243,Jose Lobaton
446928,,,Joe Inglett
448602,653,7619,Mark Reynolds
448801,472,9272,Chris Davis
449107,440,5986,Mike Aviles
450314,690,7435,Ben Zobrist
450315,503,7436,Brandon Allen
450317,541,697,J.P. Arencibia
451109,,,Brett Hayes
451143,520,4034,Mat Gamel
451594,645,4062,Dexter Fowler
451713,195,8760,Carlos Peguero
452035,406,49,Kyle Blanks
452104,631,4720,Chase Headley
452121,,,Brent Lillibridge
452220,613,4251,Stephen Drew
452234,565,7331,Seth Smith
452252,595,8027,Adam Lind
452254,670,8252,Hunter Pence
452655,620,8347,Denard Span
452672,369,4952,Ryan Hanigan
452678,643,4962,Asdrubal Cabrera
453056,697,4727,Jacoby Ellsbury
453064,616,3531,Troy Tulowitzki
453181,410,2280,Matt LaPorta
453211,649,9328,Drew Stubbs
453269,600,914,Brennan Boesch
453400,410,1191,Chris Johnson
453539,370,8254,Sam Fuld
453895,527,6073,Brendan Ryan
453974,300,7610,Lou Marson
455077,557,7480,Mike Carp
455088,365,7485,Blake DeWitt
455104,480,8267,Chris Iannetta
455759,658,3882,Chris Young
455976,689,5930,Nick Markakis
456030,700,8370,Dustin Pedroia
456422,708,6387,Michael Bourn
456488,370,6848,Eduardo Nunez
456655,484,5950,Ian Stewart
