mlbamID,newPA,newPA,PA,bisID,playerName,FG
477165,544,499,550,8434,Brett Wallace,Y
116380,544,499,525,607,Raul Ibanez,Y
425509,543,498,565,1738,Jhonny Peralta,Y
434563,543,498,444,2579,Carlos Ruiz,Y
488726,542,497,519,4106,Michael Brantley,Y
400091,541,496,565,1564,Jack Cust,Y
429711,541,496,649,3255,Franklin Gutierrez,Y
430592,541,496,456,2179,Ronny Cedeno,Y
425496,537,493,590,1760,Cody Ross,Y
430585,537,493,548,2161,Jason Kubel,Y
452234,531,487,560,7331,Seth Smith,Y
435041,530,486,541,6274,Carlos Quentin,Y
425796,530,486,515,4792,Jeff Francoeur,Y
123173,529,485,585,941,Miguel Tejada,Y
150229,528,484,505,746,A.J. Pierzynski,Y
471083,526,483,498,3364,Miguel Montero,Y
120691,524,481,499,841,Jorge Posada,Y
425547,522,479,520,1885,Brad Hawpe,Y
453400,521,478,541,1191,Chris Johnson,Y
276545,520,477,648,1286,Michael Young,Y
406878,519,476,626,166,Brian Roberts,Y
435358,519,476,528,8585,Yuniesky Betancourt,Y
407833,518,475,456,2041,John Buck,Y
460576,511,469,488,4881,Carlos Gomez,Y
116706,511,469,492,97,Chipper Jones,Y
424825,511,469,515,1572,Coco Crisp,Y
501896,509,467,529,9549,David Freese,Y
457926,508,466,419,7412,Paul Janish,Y
115732,506,464,479,432,Todd Helton,Y
466320,506,464,499,4022,Melky Cabrera,Y
204020,505,463,543,548,Lance Berkman,Y
434540,505,463,553,2714,Garrett Jones,Y
232694,504,462,538,719,Casey Blake,Y
136770,504,462,532,1152,J.D. Drew,Y
429665,502,461,458,2151,Edwin Encarnacion,Y
111851,501,460,500,766,Orlando Cabrera,Y
430681,500,459,495,2167,Dan Johnson,Y
460026,500,459,441,3376,Nick Hundley,Y
461815,499,458,512,6035,David Murphy,Y
407849,497,456,515,1605,Bill Hall,Y
446481,495,454,515,6589,Sean Rodriguez,Y
519048,494,453,503,3086,Mitch Moreland,Y
458587,489,449,,,Brad Emaus,T
459964,488,448,520,3353,Matt Joyce,Y
