mlbamID,playerName,team,league,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,defaultPos,
519058,Mike Moustakas,KC,AL,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,149,0,0,0,0,0,3B,
493316,Yoenis Cespedes,OAK,AL,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,48,0,102,OF,
543590,Kirk Nieuwenhuis,NYM,AL,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,50,20,83,OF,
518170,Jordany Valdespin,NYM,AL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,16,0,4,21,11,10,39,2B,
572821,Brian Dozier,MIN,AL,1,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,83,0,0,0,0,SS,
477195,Ike Davis,NYM,AL,1,5,0,0,0,0,0,0,0,4,0,0,0,148,0,0,0,0,0,0,0,1B,
518626,Josh Donaldson,OAK,AL,1,3,0,0,0,0,0,0,0,2,0,0,3,1,0,71,0,0,0,0,0,3B,
516782,Starling Marte,PIT,AL,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,43,4,0,45,OF,
500871,Eduardo Escobar,MIN,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,25,10,1,0,0,1,SS,
502582,Logan Schafer,MIL,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,9,OF,
476633,Chris Parmelee,MIN,AL,1,2,0,0,0,0,0,0,2,1,0,0,0,38,0,0,0,1,0,18,19,1B,
519048,Mitch Moreland,TEX,AL,1,4,0,0,0,0,0,0,0,1,0,0,0,95,0,0,0,0,0,3,3,1B,
456715,Lorenzo Cain,KC,AL,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,50,9,60,OF,
456781,Donovan Solano,MIA,AL,1,2,0,0,0,0,0,0,1,0,0,0,0,0,58,10,5,10,0,0,10,2B,
452121,Brent Lillibridge,CHC,AL,1,3,0,0,0,0,0,0,0,3,0,0,0,23,6,18,21,20,11,4,35,OF,
425549,Clint Barmes,PIT,AL,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,142,0,0,0,0,SS,
430203,David DeJesus,CHC,AL,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,50,100,143,OF,
425560,Adam LaRoche,WAS,AL,1,3,0,0,0,0,0,0,0,1,0,0,0,153,0,0,0,0,0,0,0,1B,
425773,Casey Kotchman,MIA,AL,1,3,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,1B,
425556,Laynce Nix,PHI,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,18,3,10,29,OF,
408234,Miguel Cabrera,DET,AL,1,5,1,0,0,0,0,1,0,2,0,0,0,2,0,154,0,0,0,0,0,3B,
340192,Marco Scutaro,SF,AL,1,4,0,0,0,0,0,0,0,1,0,0,0,0,118,15,27,0,0,0,0,2B,
424825,Coco Crisp,OAK,AL,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,16,97,0,113,OF,
407862,Reed Johnson,ATL,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,32,29,86,OF,
425834,B.J. Upton,ATL,AL,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,142,0,142,OF,
429667,Ryan Howard,PHI,AL,1,5,0,0,0,0,0,1,0,1,0,0,0,67,0,0,0,0,0,0,0,1B,
457727,Cameron Maybin,SD,AL,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,145,0,145,OF,
430947,Erick Aybar,LAA,AL,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,139,0,0,0,0,SS,
457763,Buster Posey,SF,AL,1,3,0,0,0,0,0,0,0,1,0,0,114,29,0,0,0,0,0,0,0,C,
431145,Russell Martin,PIT,AL,1,4,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,C,
475582,Ryan Zimmerman,WAS,AL,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,145,0,0,0,0,0,3B,
425785,Greg Dobbs,MIA,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,18,0,36,0,21,0,16,37,3B,
434778,Kendrys Morales,SEA,AL,1,4,0,0,0,0,0,0,0,1,0,0,0,28,0,0,0,0,0,0,0,1B,
435079,Ian Kinsler,TEX,AL,1,3,1,0,0,0,0,0,1,0,0,0,0,0,144,1,0,0,0,0,0,2B,
421064,Ty Wigginton,STL,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,71,0,22,0,7,0,0,7,1B,
400083,Andres Torres,SF,AL,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,124,OF,
150093,Alfonso Soriano,CHC,AL,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,145,0,0,145,OF,
150484,Vernon Wells,NYY,AL,1,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,69,6,2,74,OF,
150029,Jayson Werth,WAS,AL,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,76,79,OF,
