mlbamID,adjIP,IP,S,Name
456071,29,,,"Flande, Yohan "
474039,28,,,"Beato, Pedro "
468528,27,,,"Carreno, Joel "
571800,27,,,"Hutchison, Drew "
476595,27,,,"Luetge, Lucas "
502028,27,,,"Wood, Blake "
547749,26,,,"Tazawa, Junichi "
456496,26,,,"Mateo, Marcos "
543409,26,,,"Kohn, Michael "
502130,26,,,"Runzler, Dan "
501873,26,,,"McClendon, Mike "
447755,26,,,"Delabar, Steve "
502136,25,,,"Smith, Jordan "
516684,25,,,"Castillo, Lendy "
462480,25,,,"Cruz, Rhiner "
502264,25,,,"Adcock, Nathan "
543754,24,,,"Schwimer, Michael "
475479,24,,,"Phelps, David "
456776,24,,,"Torres, Alexander "
433589,24,,,"Petit, Yusmeiro "
571946,24,,,"Miller, Shelby "
444836,23,,,"Laffey, Aaron "
502609,23,,,"Herrera, Daniel "
451773,22,,,"De La Rosa, Dane "
502026,22,,,"Jeffress, Jeremy "
459983,22,,,"Pendleton, Lance "
518603,21,,,"De Fratus, Justin "
453304,21,,,"Gaub, John "
456027,21,,,"Ohlendorf, Ross "
543243,21,,,"Gray, Sonny "
456045,20,,,"Savery, Joe "
542924,20,,,"Beliveau, Jeff "
462522,20,,,"Gray, Jeff "
474029,20,,,"Putnam, Zach "
457581,19,,,"Brackman, Andrew "
500882,19,,,"Molina, Nestor "
493337,19,,,"Maya, Yunesky "
501993,19,,,"Kimball, Cole "
453172,19,,,"Hughes, Jared "
451585,19,,,"Demel, Sam "
474599,19,,,"Wagner, Neil "
573244,18,,,"Wilk, Adam "
518418,18,,,"Aumont, Phillippe "
547348,18,,,"Lee, Chen "
543351,18,,,"Jackson, Jay "
539438,18,,,"Diamond, Scott "
518560,18,,,"Clemens, Paul "
452061,18,,,"Phillips, Zach "
445590,18,,,"Stults, Eric "
425840,18,,,"Cotts, Neal "
503449,17,,,"Peralta, Wily "
571666,17,,,"Fiers, Michael "
434638,17,,,"Burres, Brian "
505447,17,,,"Dickson, Brandon "
435618,17,,,"Accardo, Jeremy "
434668,17,,,"Delcarmen, Manny "
493555,17,,,"Gutierrez, Carlos "
572020,17,,,"Paxton, James "
572140,17,,,"Skaggs, Tyler "
