mlbamID,playerName,Tm,Pos,Age,PA
150020,Jerry Hairston,,3B,34,232
430681,Dan Johnson,TBA,1B,30,232
476704,Jed Lowrie,BOS,SS,26,231
150439,Gary Matthews,NYN,OF,35,229
425506,Jody Gerut,MIL,OF,32,226
429712,Felix Pie,BAL,OF,25,224
136780,Mike Lowell,BOS,3B,36,222
506673,Juan Miranda,NYA,1B,27,222
450300,Drew Sutton,CIN,2B,27,218
458628,Joe Mather,SLN,OF,27,218
421124,Ramon Santiago,DET,SS,30,217
460252,Jeff Larish,DET,,27,217
450204,Ben Francisco,PHI,OF,28,216
464299,Eugenio Velez,SFN,OF,28,215
150093,Alfonso Soriano,CHN,OF,34,213
430592,Ronny Cedeno,PIT,SS,27,212
346874,Juan Uribe,SFN,3B,30,210
467793,Carlos Santana,CLE,C,24,210
459941,Travis Buck,OAK,OF,25,209
440251,Ryan Roberts,ARI,2B,29,208
488740,Jordan Brown,CLE,OF,26,208
446928,Joe Inglett,MIL,OF,32,207
430603,Donald Kelly,DET,OF,30,206
471868,Alberto Gonzalez,WAS,2B,27,206
425446,Aaron Miles,CIN,2B,33,205
435459,George Kottaras,MIL,C,27,204
457775,Desmond Jennings,TBA,OF,23,203
135783,Ramon Castro,CHA,C,34,201
465041,Francisco Cervelli,NYA,C,24,201
294558,Xavier Nady,CHN,OF,31,199
430598,Jeremy Reed,TOR,OF,29,199
408299,Omar Infante,ATL,2B,28,197
430905,Ruben Gotay,SLN,3B,27,197
435624,John Bowker,SFN,OF,26,194
430910,Brayan Pena,KCA,C,28,193
466988,Emilio Bonifacio,FLO,3B,25,192
434605,Wladimir Balentien,CIN,OF,25,191
448170,Travis Ishikawa,SFN,1B,26,188
461815,David Murphy,TEX,OF,28,187
425206,Jamey Carroll,LAN,2B,36,186
425785,Greg Dobbs,PHI,3B,31,186
150061,Julio Lugo,SLN,2B,34,185
114739,Jason Giambi,COL,1B,39,182
425556,Laynce Nix,CIN,OF,29,182
435065,Reggie Willits,LAA,OF,29,180
434704,Delwyn Young,PIT,2B,28,179
448276,Brett Carroll,FLO,OF,27,178
400083,Andres Torres,SFN,OF,32,177
452232,Jason Jaramillo,PIT,C,27,174
407397,Esteban German,TEX,3B,32,173
400018,Miguel Olivo,COL,C,31,172
445169,Landon Powell,OAK,C,28,170
459431,Michael Saunders,SEA,OF,23,170
136767,Eric Chavez,OAK,3B,32,168
431158,Jeff Bailey,ARI,1B,31,167
449107,Mike Aviles,KCA,SS,29,166
488671,Alex Avila,DET,C,23,164
150348,John McDonald,TOR,SS,35,162
408219,Chris Duncan,WAS,OF,29,162
452080,Chris Carter,NYN,OF,27,161
433477,Andy Green,NYN,2B,32,158
445095,Jason Pridie,NYN,OF,26,157
469845,Jamie Hoffmann,NYA,OF,25,157
407798,Ryan Langerhans,SEA,OF,30,156
452672,Ryan Hanigan,CIN,C,29,155
448767,Dusty Ryan,DET,C,25,154
136500,Wes Helms,FLO,3B,34,153
429731,Eric Bruntlett,WAS,2B,32,153
460051,Chris Getz,KCA,2B,26,153
489267,Adam Rosales,OAK,3B,27,152
456665,Steven Pearce,PIT,1B,27,151
502317,Chris Heisey,CIN,OF,25,149
123744,Omar Vizquel,CHA,SS,43,148
434664,Jason Botts,CHA,OF,29,148
451143,Mat Gamel,MIL,3B,24,147
457477,Alejandro de Aza,FLO,OF,26,146
459440,Jarrett Hoffpauir,SLN,2B,27,146
465668,Roger Bernadina,WAS,OF,26,145
431157,Joey Gathright,TOR,OF,29,144
425772,Jeff Mathis,LAA,C,27,143
435042,Brian Anderson,,OF,28,140
113744,Jim Edmonds,MIL,OF,40,139
435520,Jesus Flores,WAS,C,25,139
458643,Jose Morales,MIN,C,27,138
452783,Nick Evans,NYN,OF,24,134
150411,Brian Schneider,PHI,C,33,133
112223,Raul Chavez,TOR,C,37,132
137006,Doug Mientkiewicz,LAN,1B,36,132
453531,Rob Johnson,SEA,C,26,131
112128,Juan Castro,PHI,SS,38,130
435219,Jack Hannahan,SEA,3B,30,130
451687,Micah Hoffpauir,CHN,1B,30,130
217100,Willie Bloomquist,KCA,OF,32,129
434705,Jason Repko,LAN,OF,29,128
502210,Josh Reddick,BOS,OF,23,126
206551,Melvin Mora,COL,3B,38,125
430930,Fred Lewis,SFN,OF,29,124
435180,Robert Andino,BAL,SS,26,124
425557,Jeff Baker,CHN,2B,29,123
433217,Andres Blanco,CHN,2B,26,121
445196,Matt Tolbert,MIN,2B,28,121
133321,Alex Cora,NYN,SS,34,120
435522,Neil Walker,PIT,3B,24,120
464341,Chin-lung Hu,LAN,SS,26,120
346796,Alexis Gomez,DET,OF,31,120
279827,Humberto Quintero,HOU,C,30,119
460267,Brandon Boggs,TEX,OF,27,119
425661,Ronny Paulino,FLO,C,29,117
111072,Henry Blanco,,C,38,116
434624,Jayson Nix,CHA,2B,27,116
473234,Tony Abreu,ARI,2B,25,116
489149,Logan Morrison,FLO,1B,22,116
457788,Jordan Schafer,ATL,OF,23,114
476883,Pedro Alvarez,PIT,3B,23,114
137002,Gabe Kapler,TBA,OF,34,113
434604,Mike Morse,WAS,1B,28,112
501835,Kevin Russo,NYA,2B,25,111
456573,Matt Craig,FLO,1B,29,110
429708,Andy Marte,CLE,1B,26,109
150178,Jason LaRue,,C,36,108
425634,Mike Hessman,NYN,3B,32,106
133226,Mike Redmond,CLE,C,39,105
407496,Ramon Vazquez,PIT,SS,33,105
444448,Brian Bixler,CLE,SS,27,105
453327,Matt Antonelli,SDN,2B,25,105
324432,Augie Ojeda,ARI,2B,35,104
435038,Anderson Hernandez,WAS,2B,27,104
446481,Sean Rodriguez,TBA,2B,25,103
459423,Joe Koshansky,MIL,1B,28,101
455077,Mike Carp,SEA,1B,24,100
457508,Jonathan van Every,,OF,30,99
461874,Craig Tatum,CIN,C,27,99
434525,Brad Nelson,SEA,OF,27,98
